Total Instructions,Total Cycles,L1 Data Cache Misses,L1 Instruction Cache Misses,L2 Data Cache Misses,L2 Instruction Cache Misses,L1 Cache Misses,L2 Cache Misses,L3 Load Misses,Data TLB Misses,Ins TLB Misses,L1 Load Misses,L1 Store Misses,L2 Load Misses,L2 Store Misses,Cycles Stall Waiting for MemWrites,Cycles With 0 ins issue,Cycles With max ins issue,Cycles With no ins comp,Cycles With max ins comp,Unconditional branch ins,Conditional branch ins,Conditional branch ins taken,Conditional branch ins not taken,Conditional branch ins mispred,Conditional branch ins corr_pred,Load ins,Store Ins,Branch Ins,Cycle stalled on any resoruce,Loas/Store ins comp,L2 data cache access,L3 data cache access,L2 data cache reads,L3 data cache reads,L2 data cache writes,L3 data cache writes,L2 ins cache hits,L2 ins cache accesses,L3 ins cache accesses,L2 ins cache reads,L3 ins cache reads,L2 tot cache access,L3 tot cache access,L2 tot cache reads,L3 tot cache reads,L2 tot cache writes,L3 tot cache writes,FLOPS:sing_prec_vec_ops,FLOPS:dob_prec_vec_ops,Sing precision vec ins,Dob prec vec ins,Ref clock cyc,cpu energy,dram energy
5840376.6,4243190.4,42283.6,100733.4,120509.8,46558.0,143412.6,1876.4,7.4,2693.2,2843.2,30402.4,4518.8,14845.0,1485.4,3842.6,847738.2,1119694.2,2381721.8,1255884.8,230545.0,809092.6,210993.4,596232.8,32796.6,776087.6,1632344.0,799434.0,1040386.6,607532.2,2433187.6,134996.4,121381.6,30319.0,14691.4,1886.8,1467.0,53781.8,100577.6,46420.2,99988.4,47424.8,235028.6,167196.0,132653.8,164821.4,1917.6,1485.8,10843.0,162588.0,10843.0,150426.0,27513.2,0.4059316,0.025329599999999997
6171856.2,4493832.8,42598.4,100160.2,120779.8,46717.8,142974.0,607.4,2.2,2658.6,2819.2,30563.8,4408.2,14759.0,1447.2,3171.8,872352.0,1200155.2,2517881.2,1339806.8,240553.6,856533.0,227086.6,628912.6,35834.8,821129.8,1733493.4,843588.8,1097598.0,679526.6,2578205.4,134680.8,122026.6,30324.8,14767.8,1884.4,1467.2,53871.0,99876.0,46271.6,100222.2,47440.8,234981.8,166133.0,132517.8,165533.4,1903.2,1452.8,11990.0,185363.0,11990.0,171511.0,29234.6,0.049475200000000004,0.004138
5802792.2,4301390.6,42449.2,99826.4,120441.8,46792.0,142757.8,440.4,1.0,2698.4,2891.6,30427.4,4485.0,14806.6,1485.6,3126.8,853703.8,1127498.8,2401835.6,1258655.6,230908.4,812270.4,212515.0,598219.0,33487.2,778607.8,1637469.8,803252.4,1043659.6,612819.0,2443244.2,135009.2,120126.0,30319.0,14772.2,1905.6,1421.6,53077.8,100592.0,46302.6,100767.0,47276.6,237047.4,166043.8,131934.2,165044.2,1928.8,1478.2,10937.0,163454.0,10937.0,151182.0,27494.4,0.033666800000000004,0.0032228
5816406.2,4328537.0,42234.8,99925.4,120105.4,46773.8,142696.0,558.2,1.8,2678.2,2945.4,30377.2,4369.6,14884.8,1452.0,3489.0,847660.2,1132997.4,2405907.8,1261474.6,231586.0,815471.8,213472.2,600747.0,33623.4,781706.4,1643513.2,806124.0,1047063.4,619201.0,2451754.8,134367.6,119428.4,30353.8,14732.6,1961.2,1473.6,53939.8,99833.8,46708.0,99448.4,47890.4,235783.8,166931.6,132570.4,165325.2,1936.8,1477.6,11039.0,164960.0,11039.0,152574.0,27554.0,0.055651799999999994,0.001477
5890110.8,4343062.4,42324.0,101185.2,120444.4,46792.4,142709.6,445.4,1.2,2678.6,2934.4,30689.8,4276.2,14366.8,1456.0,3026.0,849046.4,1144428.8,2416585.4,1275756.6,233581.0,824360.6,215915.4,606923.8,33562.0,791110.4,1666128.6,814891.8,1058455.2,623685.4,2483630.4,134830.6,120716.8,30304.4,14811.2,1913.6,1474.0,54219.4,100121.2,46318.6,100300.4,47547.2,235344.2,166335.6,132786.6,166441.6,1991.2,1487.4,11323.0,169763.0,11323.0,157055.0,27776.6,0.051440200000000005,0.0007202
5609355.2,4157458.8,42209.8,100068.8,120238.4,46971.8,143016.8,315.2,2.2,2671.0,2924.0,30609.0,4317.8,14871.6,1448.2,2940.6,831148.0,1076870.0,2317961.4,1214010.2,225903.0,787805.8,203653.0,583205.8,31901.8,756918.2,1588960.6,781499.8,1015040.2,577714.4,2371705.6,134345.4,120051.8,30332.0,14834.8,1935.2,1485.0,53646.8,99871.6,46519.0,99861.2,47674.6,235747.6,166338.2,133351.0,165658.2,1948.8,1456.8,10425.0,153492.0,10425.0,141990.0,26576.6,0.0035644,0.0005981999999999999
5626204.6,4151147.4,42479.2,100090.8,120363.4,46579.6,143612.4,492.8,0.0,2672.8,2929.4,30221.8,4250.6,14836.0,1453.0,2812.8,839977.6,1076471.8,2334368.4,1218097.8,226714.4,791070.4,204374.4,584643.6,32181.0,759544.8,1593200.6,782336.8,1018752.8,574868.2,2378676.4,134071.6,119345.8,30326.2,14763.4,1900.8,1475.6,53836.6,99713.8,46406.0,100362.0,47865.8,234921.6,166157.0,133272.2,165807.0,1962.8,1481.0,10533.0,154218.0,10533.0,142656.0,30560.2,0.0507444,0.0021728
5989528.6,4390072.2,42637.8,100333.0,120483.4,46502.4,143671.4,412.0,0.2,2671.2,2912.4,30707.2,4368.8,14605.8,1457.6,3362.6,863269.0,1164836.8,2459440.4,1306569.6,236989.8,837840.2,220822.6,615443.6,34638.6,803631.2,1694366.4,826127.4,1074919.0,641206.8,2523719.2,135119.0,119597.6,30518.2,15023.2,1946.0,1473.2,53190.4,100506.2,46254.0,99605.8,47327.4,236374.8,167143.6,132811.4,165453.4,1944.0,1474.8,11707.0,176039.0,11707.0,162907.0,30633.6,0.024096799999999998,0.0012698
5425339.2,3999085.2,42401.4,100040.8,120943.0,47031.2,144062.4,527.2,3.2,2662.0,2996.0,30370.4,4273.6,14519.2,1473.4,2935.0,827130.6,1030892.4,2246864.4,1177268.0,221713.2,765087.8,195955.0,567221.6,30160.6,735284.8,1540422.0,760569.0,987472.0,539296.2,2303919.8,135849.8,119857.4,30214.8,14826.2,1945.2,1440.4,53579.4,100500.0,46417.8,100122.0,47919.6,236201.6,166177.6,132688.0,165606.4,2022.8,1439.8,9925.0,141862.0,9925.0,131296.0,25688.0,0.0058104,0.0017211999999999998
5739554.4,4256422.4,42579.2,100001.4,120625.0,46766.4,144443.8,451.4,3.0,2687.0,2812.8,30272.2,4556.8,14447.8,1479.8,2720.6,846733.4,1113391.4,2381981.6,1247958.0,229434.0,806183.8,209976.8,594495.4,33207.2,773956.8,1625132.4,797480.4,1036755.0,598869.2,2425599.6,135281.2,119461.6,30395.0,14946.4,2058.8,1456.8,53419.4,100765.2,46536.0,99594.2,47689.0,235869.6,168470.6,132374.2,165604.6,2028.8,1467.2,10933.0,160715.0,10933.0,148661.0,27217.4,0.026355,0.0007934
