Total Instructions,Total Cycles,L1 Data Cache Misses,L1 Instruction Cache Misses,L2 Data Cache Misses,L2 Instruction Cache Misses,L1 Cache Misses,L2 Cache Misses,L3 Load Misses,Data TLB Misses,Ins TLB Misses,L1 Load Misses,L1 Store Misses,L2 Load Misses,L2 Store Misses,Cycles Stall Waiting for MemWrites,Cycles With 0 ins issue,Cycles With max ins issue,Cycles With no ins comp,Cycles With max ins comp,Unconditional branch ins,Conditional branch ins,Conditional branch ins taken,Conditional branch ins not taken,Conditional branch ins mispred,Conditional branch ins corr_pred,Load ins,Store Ins,Branch Ins,Cycle stalled on any resoruce,Loas/Store ins comp,L2 data cache access,L3 data cache access,L2 data cache reads,L3 data cache reads,L2 data cache writes,L3 data cache writes,L2 ins cache hits,L2 ins cache accesses,L3 ins cache accesses,L2 ins cache reads,L3 ins cache reads,L2 tot cache access,L3 tot cache access,L2 tot cache reads,L3 tot cache reads,L2 tot cache writes,L3 tot cache writes,FLOPS:sing_prec_vec_ops,FLOPS:dob_prec_vec_ops,Sing precision vec ins,Dob prec vec ins,Ref clock cyc,cpu energy,dram energy
1406182.8,1215411.6,29247.2,65141.2,77828.4,28704.8,95434.4,152.0,0.6,1669.8,1378.6,21074.8,2578.0,9726.4,913.4,1804.0,385638.6,229734.6,812568.2,259671.2,48049.8,202374.6,31954.4,170435.6,6896.0,195391.4,389740.2,191616.2,250418.2,82815.0,581259.4,87913.2,78231.0,21199.6,10078.8,1092.4,906.0,35975.4,65118.0,28027.4,64645.8,28697.4,153571.6,106032.4,86492.0,106784.2,1065.2,894.4,0.0,2400.0,0.0,2400.0,8099.2,0.0575804,0.0020386000000000002
1365861.6,1214395.2,29304.0,64608.0,78266.2,28728.8,95015.2,97.2,0.6,1741.2,1438.8,21301.4,2550.8,9805.8,937.4,1772.0,391083.6,229741.6,807984.6,259669.2,48053.8,202359.8,32025.6,170336.4,6912.8,195466.0,389782.2,191569.4,250426.6,82684.0,581217.2,88168.0,78079.8,21294.2,10084.2,1105.2,889.0,36299.2,64824.4,27860.2,65372.2,28981.0,152533.6,106560.8,85971.0,105500.8,1092.4,891.0,0.0,2400.0,0.0,2400.0,8071.8,0.0005738,0.0001586
1366619.0,1212758.6,29329.4,65125.2,77868.6,29663.6,94565.0,160.6,0.4,1597.4,1403.2,21061.8,2551.0,9759.6,902.6,1925.8,389611.8,229600.8,814814.2,259570.4,48045.2,202358.8,31982.6,170387.2,6919.4,195419.6,389740.6,191583.2,250415.4,83184.8,581083.8,88583.4,78559.0,21309.4,10220.2,1078.8,886.4,35514.6,64704.8,27844.6,65630.6,29067.6,154105.6,106011.4,86962.6,106024.4,1090.0,884.0,0.0,2430.0,0.0,2430.0,8150.8,0.0011474,0.00010999999999999999
1358285.4,1214284.2,29220.6,65629.4,77909.6,28888.6,94484.0,129.0,0.0,1644.0,1540.6,21188.6,2556.2,9748.8,898.0,1771.0,387912.0,230322.2,810717.8,259574.6,48044.8,202375.0,32014.0,170360.2,6922.8,195426.4,389797.6,191544.6,250430.2,86413.2,581211.8,89005.8,78764.0,21247.4,10126.4,1099.2,900.4,35843.0,65074.2,27687.0,65356.6,28484.0,153719.0,106056.8,86574.4,107461.2,1072.4,904.4,0.0,2460.0,0.0,2460.0,8096.4,0.0239746,0.00018299999999999998
1346170.6,1207399.8,29372.4,65179.8,78319.8,29062.4,94513.8,134.6,0.0,1611.8,1431.2,21161.8,2562.0,9803.4,900.4,2063.0,390267.0,230601.2,810097.6,259912.6,48059.8,202429.6,32028.0,170374.6,6962.6,195471.6,389922.8,191535.6,250500.0,82831.4,581397.2,88284.4,78128.4,21197.4,10146.6,1106.4,901.8,35707.8,64519.0,28744.2,65165.6,28921.2,153695.8,106418.4,86152.4,105961.0,1087.6,883.0,0.0,2490.0,0.0,2490.0,8093.6,0.0013916,0.0005128
1346444.0,1209359.4,29276.0,65787.4,77959.4,28818.4,94864.2,148.0,0.0,1593.8,1561.2,21391.6,2547.6,9831.8,926.4,1755.4,390588.8,229676.6,810110.2,259613.6,48066.2,202444.0,32071.2,170415.2,6954.2,195440.4,389962.2,191568.6,250509.8,83279.2,581543.4,89090.2,78124.6,21204.8,10121.6,1096.0,901.8,35867.2,64924.4,29112.6,65732.6,29077.4,153666.2,106204.4,86294.4,105731.8,1083.2,883.4,0.0,2520.0,0.0,2520.0,8101.4,0.059728800000000005,0.0002562
1346167.8,1212250.0,29291.2,64508.4,78296.0,28861.6,95031.8,96.4,0.2,1638.4,1444.0,21089.6,2561.0,9802.0,931.0,1765.8,392098.6,229215.4,807494.4,259592.4,48056.4,202460.6,31973.8,170426.0,6873.4,195490.8,389886.2,191522.2,250487.6,82970.4,581344.6,89176.2,78360.4,21247.0,10121.8,1098.8,881.4,36118.0,65570.6,29293.8,64896.8,29006.4,153877.4,107587.6,86565.2,105986.8,1049.6,885.8,0.0,2520.0,0.0,2520.0,8084.6,0.0007202,0.00011
1347008.8,1215962.2,29319.0,64954.0,77822.0,29159.0,94058.8,193.4,0.0,1606.8,1411.6,21051.4,2572.0,9784.6,912.8,1688.6,392849.8,230601.8,816689.0,259769.4,48047.6,202557.8,32052.4,170488.4,6886.2,195532.6,390033.4,191599.0,250621.6,83049.8,581521.0,89122.4,78794.2,21185.4,10178.8,1100.4,883.4,35755.8,64691.4,29341.6,64620.6,29030.2,154062.6,106205.8,86684.6,106049.4,1082.0,899.2,0.0,2550.0,0.0,2550.0,8141.8,0.0010132000000000001,0.0002076
1347112.4,1210547.6,29308.8,65022.6,78102.8,28816.4,94743.0,196.2,0.0,1828.0,1587.0,21015.2,2571.2,9893.2,915.4,1758.0,389508.4,230189.8,815363.8,259912.4,48054.0,202532.0,32094.6,170429.8,6951.6,195661.2,390058.0,191541.2,250606.8,83176.6,581547.4,88248.0,78628.6,21336.4,10094.0,1084.4,888.2,36028.8,65087.6,28887.8,65420.4,29025.0,153380.4,106382.0,87088.2,106394.4,1096.0,898.2,0.0,2580.0,0.0,2580.0,8096.6,0.0006958,0.0002196
1343756.8,1212034.4,29278.8,64821.0,77900.2,29136.6,94474.8,126.8,0.0,1650.2,1457.4,20976.4,2570.8,9811.8,924.0,1725.2,387734.8,229536.0,816321.4,259789.4,48087.2,202563.6,32060.2,170456.8,6974.6,195548.4,390156.2,191638.8,250652.8,83842.0,581686.2,88963.0,78677.4,21149.4,10156.2,1069.6,884.4,36163.8,64843.0,28791.2,64699.6,28727.2,152705.8,106712.6,86385.8,105720.8,1097.2,904.6,0.0,2610.0,0.0,2610.0,8112.8,0.0,4.88e-05
