Total Instructions,Total Cycles,L1 Data Cache Misses,L1 Instruction Cache Misses,L2 Data Cache Misses,L2 Instruction Cache Misses,L1 Cache Misses,L2 Cache Misses,L3 Load Misses,Data TLB Misses,Ins TLB Misses,L1 Load Misses,L1 Store Misses,L2 Load Misses,L2 Store Misses,Cycles Stall Waiting for MemWrites,Cycles With 0 ins issue,Cycles With max ins issue,Cycles With no ins comp,Cycles With max ins comp,Unconditional branch ins,Conditional branch ins,Conditional branch ins taken,Conditional branch ins not taken,Conditional branch ins mispred,Conditional branch ins corr_pred,Load ins,Store Ins,Branch Ins,Cycle stalled on any resoruce,Loas/Store ins comp,L2 data cache access,L3 data cache access,L2 data cache reads,L3 data cache reads,L2 data cache writes,L3 data cache writes,L2 ins cache hits,L2 ins cache accesses,L3 ins cache accesses,L2 ins cache reads,L3 ins cache reads,L2 tot cache access,L3 tot cache access,L2 tot cache reads,L3 tot cache reads,L2 tot cache writes,L3 tot cache writes,FLOPS:sing_prec_vec_ops,FLOPS:dob_prec_vec_ops,Sing precision vec ins,Dob prec vec ins,Ref clock cyc,cpu energy,dram energy
6398702.0,4015612.4,282066.2,105425.8,413137.0,60279.4,389315.8,5032.8,45.2,3620.8,2856.8,155462.0,27400.6,38679.0,10706.6,76399.2,882380.6,1045919.2,2151637.6,1579189.8,494104.8,699547.6,312407.0,387231.8,10869.6,688391.0,2091536.8,890025.0,1193645.0,660339.2,2981080.8,287208.8,429363.2,153768.2,58608.8,18598.0,10812.0,45159.4,107999.6,60300.2,105671.8,61902.8,392663.0,484948.8,258338.6,472012.2,19194.4,11088.2,2.0,1070556.0,2.0,454587.0,32973.4,0.0554198,0.0027466
6366955.6,3991717.6,281536.2,105778.6,418111.4,60491.4,389302.0,3347.4,51.4,3319.4,3017.6,155501.2,26698.8,38086.4,10721.8,54581.6,893914.4,1044622.6,2245060.2,1579208.2,493998.8,699423.6,312217.2,387104.2,11088.6,688080.6,2090773.6,889657.4,1193244.8,655241.8,2979822.2,288922.8,437886.4,152549.4,58200.6,18125.2,10831.4,45829.4,106890.6,60929.8,105415.4,62337.8,390580.2,497964.8,261171.0,485045.2,18370.0,10893.4,2.0,1070244.0,2.0,454287.0,33053.2,0.0012084,0.0004027999999999999
6368860.0,3983745.0,281618.2,107224.6,412227.6,60430.2,389120.8,3447.4,33.8,3603.8,2840.4,151997.6,27125.0,38643.8,10535.6,75423.2,896326.6,1046985.2,2154845.6,1580128.6,494100.8,699601.4,312294.0,387355.6,11046.8,688358.8,2091451.4,890006.4,1193683.2,696874.6,2980882.0,286385.6,435803.0,151958.6,58105.8,19026.0,10765.6,45855.0,107031.0,60635.2,106168.0,62252.4,392074.4,499616.8,260097.6,468666.0,18873.2,10910.0,2.0,1070701.0,2.0,454568.0,33000.8,0.046606400000000006,0.0004272
6368066.4,3998783.8,282325.2,106433.0,416881.2,59596.2,388823.0,2426.6,66.0,3374.6,2942.8,149949.2,27698.6,38174.2,10635.4,51309.0,904139.0,1046469.2,2197496.2,1581095.6,494189.4,699518.0,312247.4,387214.6,11060.2,688242.4,2091444.4,889906.8,1193810.0,686130.8,2980588.8,283374.8,424639.6,147854.0,57843.0,19466.8,10995.0,45573.2,106145.4,60094.8,106419.0,62375.4,389012.4,483818.8,257439.8,468316.2,19210.0,11110.4,2.0,1070592.0,2.0,454283.0,32913.4,0.024340800000000003,0.0004882
6371161.8,3980804.4,281251.0,105822.6,412858.0,60561.0,387895.6,3594.6,35.0,3564.8,3038.8,154438.4,26716.2,39108.8,10671.8,69647.6,901017.6,1047503.0,2143675.8,1582169.6,494289.2,699793.4,312347.4,387420.2,11016.2,688448.2,2091925.0,890227.8,1193937.4,672719.2,2982010.4,283026.2,427302.8,145629.8,57433.8,19786.8,10803.8,45772.0,107443.0,59982.8,106455.0,62374.0,392178.4,499764.8,254945.2,472375.0,18717.2,10828.6,2.0,1071041.0,2.0,454571.0,32789.2,0.055663800000000006,0.00032959999999999993
6359340.2,3989126.0,281642.6,105543.2,415965.8,59898.4,389860.6,2146.2,41.6,3348.4,2885.0,149368.6,27786.6,37482.0,10662.2,71960.2,893774.8,1045228.2,2159676.0,1581381.0,494315.4,699708.8,312261.6,387336.2,11087.4,688272.0,2091912.4,890109.6,1193826.6,664694.2,2981264.6,283143.8,438488.2,149337.8,58474.0,18992.0,10998.6,46037.8,106763.4,60277.6,105642.6,61379.8,386558.2,492838.6,255029.4,482587.6,19677.6,10981.6,2.0,1071188.0,2.0,454574.0,34366.0,0.0021484,0.000415
6358350.8,4001292.2,281566.4,105396.0,411434.0,60149.2,388270.2,2883.6,30.2,3555.0,2942.0,147906.6,27725.6,38438.0,10747.2,51420.4,895859.2,1046913.0,2143301.2,1581581.6,494351.2,699762.4,312304.0,387403.4,10978.8,688516.2,2092181.6,890364.6,1194029.0,669832.0,2982496.6,282670.6,445184.6,149132.8,59468.2,20355.2,10832.2,46608.8,107088.0,60495.6,105687.4,62311.8,387878.8,501122.8,253882.6,471617.4,19282.4,11124.4,2.0,1071212.0,2.0,454586.0,32983.4,0.0019532,0.0006104
6358347.6,3976962.6,280975.2,105391.4,414094.2,60079.6,388881.2,3242.8,34.8,3293.2,2929.6,150358.4,27118.0,37716.2,10513.6,74749.4,903815.6,1047857.6,2157335.6,1582207.4,494326.6,699669.8,312374.0,387345.8,11018.0,688455.6,2092012.2,890233.6,1193844.4,652873.4,2982115.0,285510.4,433606.0,150299.0,60461.4,19047.2,10877.8,45818.8,106619.4,60271.4,105542.0,63830.4,388675.8,501093.8,257439.0,472820.0,19240.8,10735.4,2.0,1071093.0,2.0,454339.0,32969.0,0.0627684,0.00043940000000000006
6360617.8,4001810.8,281579.8,105828.4,415579.4,59973.6,388221.6,2892.8,44.0,3860.8,3016.6,149005.4,27568.4,38517.6,10904.8,51048.4,898926.2,1046012.0,2217751.4,1581255.8,494508.6,699907.4,312323.4,387499.4,11015.4,688699.8,2092643.0,890519.4,1194425.6,664513.0,2982745.0,283856.2,436159.6,147392.0,60335.6,20501.2,11282.0,45400.2,106577.8,60502.4,106346.4,62193.6,388619.0,486976.4,253374.8,472700.8,20209.2,11066.8,2.0,1071528.0,2.0,454686.0,32954.4,0.0444334,0.0005369999999999999
6349259.4,4068268.0,281421.4,106832.2,414853.6,60179.2,388631.0,4145.8,25.8,3388.4,2797.6,153828.8,26633.0,37916.6,10473.0,78963.4,925245.0,1047737.0,2140055.0,1583119.6,494626.4,700091.4,312579.8,387488.6,11027.8,688760.2,2093164.0,890809.2,1194661.6,647377.0,2983618.0,287669.0,420477.4,146945.2,60483.8,18362.8,10676.2,46326.4,107312.0,60460.6,105987.4,61940.4,393602.4,499086.6,261617.0,483040.0,18982.4,11142.4,2.0,1071697.0,2.0,454786.0,33054.8,0.030810399999999998,0.000586
6350396.2,4005437.2,281676.4,105305.6,408579.8,61506.2,389067.4,2253.6,43.4,3807.2,2855.8,153729.4,27230.2,38712.4,10601.4,50048.0,888941.6,1045944.2,2149208.4,1580849.6,494682.8,700076.4,312480.0,387494.8,11036.4,688747.2,2093312.6,890875.8,1194772.2,662367.2,2984268.6,287892.6,429185.0,152192.4,60225.4,18858.4,11107.8,45587.8,107334.8,60337.6,105930.4,62396.2,386674.0,500789.2,257483.0,470244.4,18576.0,11337.0,2.0,1071860.0,2.0,454893.0,33012.8,0.0399412,0.0005738
6349466.4,3993607.0,281426.8,106065.8,417505.8,60340.2,388018.0,4724.8,22.0,3680.2,2735.2,152541.4,26868.0,37698.0,10532.4,73810.8,892495.6,1045364.0,2292019.2,1582679.6,494701.0,700062.0,312616.2,387466.4,10861.0,688851.2,2093406.4,890918.2,1194742.8,659865.6,2984186.0,284200.6,439478.2,151966.8,60867.4,18138.8,10792.8,46455.8,106783.0,60124.4,105942.0,62126.0,387484.0,485328.2,256783.8,466974.8,18318.8,11330.2,2.0,1071852.0,2.0,454889.0,33063.2,0.0405028,0.0005859999999999999
