index,cycles,cpu energy,dram energy,total energy,total time
1,6614090.6,615855.2,14868.0,630723.2,0.03506736755371088
2,5357772.8,48339.8,732.4,49072.2,0.00136480331420892
3,5356727.8,49084.2,805.4,49889.6,0.00135869979858394
4,5362718.2,47070.2,854.8,47925.0,0.0013570308685302399
5,5307522.2,43908.8,683.8,44592.6,0.00132002830505368
6,5258053.0,38513.2,634.8,39148.0,0.00132765769958492
7,5173253.2,43469.0,696.2,44165.2,0.00129690170288082
8,5110223.4,44213.6,561.4,44775.0,0.00126690864562984
9,5248396.6,47461.0,732.6,48193.6,0.00129084587097164
10,5265485.4,50513.0,805.4,51318.4,0.00131711959838864
11,5179914.4,44152.6,537.4,44690.0,0.00126643180847164
12,5139458.4,47875.6,549.2,48424.8,0.00126643180847164
13,5132607.4,42285.2,415.4,42700.6,0.0012873649597167599
14,5433460.4,39892.6,903.2,40795.8,0.00136966705322262
15,5120004.4,33447.4,537.6,33985.0,0.00126762390136714
16,5132507.6,40392.8,695.6,41088.4,0.00127248764038082
17,5163581.0,41943.2,781.0,42724.2,0.0012722492218017
18,4943712.2,52416.8,781.4,53198.2,0.0012606143951415598
19,4808890.8,56274.4,781.0,57055.4,0.0012184143066406
20,4799313.4,42395.0,586.0,42981.0,0.0011972427368163601
21,4846524.8,36254.4,585.8,36840.2,0.00122904777526852
22,4812573.2,36755.2,659.2,37414.4,0.00121836662292476
23,4771848.4,44079.4,536.8,44616.2,0.0011806011199950802
24,4826748.4,41467.0,586.4,42053.4,0.0012632846832274802
25,4855093.0,35949.6,524.6,36474.2,0.00121717453002924
26,4789331.2,35754.0,598.0,36352.0,0.00120844841003412
27,4803627.4,43737.8,561.6,44299.4,0.00119323730468744
28,4735186.0,44836.2,598.2,45434.4,0.0011831283569335399
29,4769828.2,35449.2,476.0,35925.2,0.00119247436523434
30,4789263.2,33801.0,488.2,34289.2,0.00120820999145504
31,4802723.2,39013.6,525.2,39538.8,0.00119652748107904
32,4804230.2,35729.8,488.2,36218.0,0.00119652748107904
33,4759285.2,35754.2,439.4,36193.6,0.0011726856231689
34,4756940.8,33618.2,525.0,34143.2,0.0011902809143065798
35,4735362.0,42614.4,537.2,43151.6,0.00120124816894528
36,4796903.2,50891.0,549.2,51440.2,0.00122861862182614
37,4815656.0,43359.2,549.4,43908.6,0.00123863220214838
38,4839404.0,42883.2,537.4,43420.6,0.00118799209594722
39,4827143.2,40881.2,573.6,41454.8,0.00121994018554682
40,4765664.0,42151.0,561.6,42712.6,0.0011903762817382399
41,4761467.2,48230.0,610.4,48840.4,0.0012158870697020802
42,4786715.8,50268.6,671.4,50940.0,0.0012033462524414
43,4819487.0,69335.8,793.4,70129.2,0.00121355056762692
44,4868216.4,51122.4,586.0,51708.4,0.00124020576477046
45,4830579.6,36889.8,451.8,37341.6,0.0011733531951904001
46,4776727.2,41052.2,524.6,41576.8,0.00117249488830562
47,4787807.8,44775.4,524.8,45300.2,0.00122213363647458
48,4784448.6,45165.6,512.4,45678.0,0.00119538307189936
49,4791590.8,48266.6,512.6,48779.2,0.0012095451354980202
50,4823068.0,52136.0,549.4,52685.4,0.00121536254882808
51,4858382.8,43176.2,549.2,43725.4,0.00122199058532708
52,5097846.4,46460.0,720.6,47180.6,0.00127921104431144
53,4812229.4,50244.0,659.2,50903.2,0.0012206077575683
54,4774765.2,49267.4,561.4,49828.8,0.00120902061462396
55,4807711.2,41821.0,573.6,42394.6,0.00119762420654292
56,4745678.6,41247.4,524.6,41772.0,0.00118727684020992
57,4846896.0,44165.2,610.4,44775.6,0.0012332439422606798
58,5012721.8,59387.0,940.2,60327.2,0.0012633323669433
59,4904313.8,65954.4,1000.6,66955.0,0.00126910209655756
60,4816423.0,45202.6,610.2,45812.8,0.0012160301208495598
61,4799587.0,36560.0,451.6,37011.6,0.00119786262512202
62,4776956.8,36560.0,463.8,37023.8,0.0012019157409667602
63,4855657.2,34204.0,415.0,34619.0,0.0012144565582275
64,4846484.4,34387.0,524.8,34911.8,0.0012219429016113001
65,4801310.8,36657.6,476.4,37134.0,0.00117979049682612
66,4790535.8,46752.8,671.2,47424.0,0.0012163639068602998
67,4796852.0,58081.0,708.2,58789.2,0.00121545791625974
68,4758782.2,75927.6,830.2,76757.8,0.00120139122009272
69,4830705.2,67761.0,854.2,68615.2,0.00121240615844722
70,4800599.6,48571.8,610.6,49182.4,0.00120797157287594
71,4773443.4,60473.2,671.4,61144.6,0.00118188858032224
72,4785514.8,48937.6,622.4,49560.0,0.0012009143829344998
73,4763969.2,45129.2,536.8,45666.0,0.00117530822753904
74,4748513.2,48901.2,708.0,49609.2,0.0011751174926757399
75,4766955.2,68310.8,732.8,69043.6,0.00121326446533196
76,4829217.8,54894.6,524.6,55419.2,0.0011949539184569799
77,5056331.4,45898.4,757.0,46655.4,0.00126976966857904
78,5145270.4,48413.2,1171.8,49585.0,0.00132741928100582
79,5494864.2,47900.2,1257.2,49157.4,0.0013878822326659798
80,5679790.6,42810.2,1025.4,43835.6,0.00150756835937496
81,5629575.8,59704.6,1794.4,61499.0,0.00147733688354488
82,5380336.6,52197.0,1941.2,54138.2,0.00139341354370112
83,5216006.6,62365.4,2355.8,64721.2,0.00136861801147456
84,5364066.8,52539.0,2160.6,54699.6,0.0013832569122314
85,5236920.4,39758.4,1404.0,41162.4,0.00137562751770016
86,5242627.4,61657.6,2282.6,63940.2,0.00140986442565914
87,5506092.2,63329.8,2612.4,65942.2,0.00151386260986326
88,5285787.8,61047.4,2588.0,63635.4,0.0014260768890380399
89,5276027.6,56103.2,1733.2,57836.4,0.0013874053955077801
90,5170602.6,51062.0,2209.6,53271.6,0.00135822296142572
91,5460766.8,61962.8,2417.0,64379.8,0.00146183967590326
92,5311184.0,50353.8,1831.4,52185.2,0.00138530731201168
93,5339297.8,61132.6,2453.4,63586.0,0.0014137268066406
94,5489828.0,64770.4,2649.0,67419.4,0.00141930580139156
95,5203026.4,59106.0,2477.8,61583.8,0.00142421722412104
96,5485582.8,57909.8,2063.0,59972.8,0.00145106315612788
97,5397943.6,52429.0,2185.2,54614.2,0.00144619941711424
98,5593582.6,75365.8,3173.6,78539.4,0.0014971256256103
99,5383519.8,59546.0,2563.0,62109.0,0.00144538879394526
100,5433153.2,47632.0,2197.4,49829.4,0.00151886940002436
101,6218523.0,62048.0,2905.4,64953.4,0.0016797542572020998
102,5743926.2,50256.4,2124.0,52380.4,0.00153584480285638
103,5546424.0,76549.8,2563.6,79113.4,0.00146737098693844
104,5140167.4,35229.4,1098.6,36328.0,0.00131893157958978
105,5255815.4,51928.8,1928.6,53857.4,0.0013729095458984001
106,5358339.8,61780.0,2124.0,63904.0,0.00142612457275388
107,5531843.4,69250.2,2575.4,71825.6,0.00145292282104486
108,5758181.2,56469.2,2917.6,59386.8,0.0015604972839355
109,5599189.2,58605.8,2942.0,61547.8,0.0015424728393554
110,5448793.4,55615.0,2356.0,57971.0,0.00139856338500972
111,5226849.0,34009.0,1270.0,35279.0,0.00135121345520014
112,5419306.0,61096.0,2270.8,63366.8,0.00142297744750972
113,5334069.2,51110.6,1903.8,53014.4,0.00137443542480464
114,5460958.0,62121.6,2832.2,64953.8,0.00147089958190912
115,5276575.0,53625.4,2246.2,55871.6,0.0013677597045898
116,5254210.2,50414.6,2050.4,52465.0,0.0013677597045898
117,5505193.2,53271.8,2002.2,55274.0,0.0014425754547119
118,5199633.4,43420.6,1782.4,45203.0,0.0013553142547607
119,5412594.4,61059.4,2014.2,63073.6,0.00143752098083492
120,5483560.8,62439.2,2611.8,65051.0,0.0015032291412353
121,5285664.0,55761.6,2014.2,57775.8,0.00139880180358882
122,5169222.0,58056.2,2173.2,60229.4,0.00134234428405758
123,5169303.6,49474.6,1928.8,51403.4,0.00134863853454584
124,5282386.6,61547.6,1745.8,63293.4,0.0014008998870848799
125,4949238.4,34057.6,1037.8,35095.4,0.00125331878662108
126,4913126.0,36425.8,1001.2,37427.0,0.00125107765197748
127,5025528.8,43578.8,1623.6,45202.4,0.0012832641601562
128,5036182.0,52392.6,1525.8,53918.4,0.0012741565704345401
129,5182132.6,42577.8,1135.2,43713.0,0.00134844779968256
130,4945827.4,43737.8,939.8,44677.6,0.00127716064453122
131,4910983.8,51769.8,1074.4,52844.2,0.0012794494628906
132,4942094.8,42761.2,1367.2,44128.4,0.00127768516540524
133,4895690.4,57214.4,1135.4,58349.8,0.00126318931579586
134,4885556.0,68566.4,976.8,69543.2,0.00125646591186518
135,4993022.2,68945.2,1123.0,70068.2,0.0012489795684814
136,4813259.8,57910.0,964.2,58874.2,0.00125689506530756
137,4891181.4,45751.8,732.6,46484.4,0.0012806892395019
138,4885488.8,44616.6,757.0,45373.6,0.00122618675231928
139,4962500.4,50268.2,1147.4,51415.6,0.00127186775207518
140,4906342.2,50488.4,1001.0,51489.4,0.00130991935729974
141,4896644.6,42688.4,781.6,43470.0,0.00124368667602534
142,4819485.2,44653.4,769.2,45422.6,0.00121765136718746
143,4782409.8,34301.4,610.6,34912.0,0.0012050151824950798
144,4789705.8,35205.2,634.6,35839.8,0.00118961334228512
145,4899482.4,31994.6,708.0,32702.6,0.0012568950653075802
146,4777806.0,44164.8,683.2,44848.0,0.00120463371276852
147,4878234.0,44726.4,830.0,45556.4,0.0012316226959228
148,4840122.8,49475.2,769.2,50244.4,0.0012248992919921399
149,4898067.0,50854.4,952.0,51806.4,0.00124344825744624
150,4804465.8,42504.8,671.6,43176.4,0.00123195648193356
151,4844952.0,46191.2,647.0,46838.2,0.0012254714965819799
152,4783606.0,44055.2,585.8,44641.0,0.0011857032775878201
153,4888147.8,43823.0,671.4,44494.4,0.00126528739929194
154,4835460.8,44323.8,610.6,44934.4,0.00124001502990716
155,4774662.4,51525.6,646.6,52172.2,0.0012167930603027
156,4856453.6,57751.2,781.4,58532.6,0.0012237071990966399
157,4922776.4,43334.8,720.2,44055.0,0.0012625694274901798
158,4797086.2,41003.6,659.4,41663.0,0.00120029449462886
159,4840710.8,46423.2,622.4,47045.6,0.0012167930603027
