dropout rate,ins,cycles,cpu energy,dram energy,accuracies
0.9,14377595591,13673490769,90.98109,2.117854,0.8684210777282715
0.8,14289249691,13638255820,88.727129,2.132135,0.9912280440330505
0.7,14289065348,13530472380,65.788894,2.411126,0.9912280440330505
0.6,14517191079,14082500929,69.493047,2.668939,0.9736841917037964
0.5,14277210384,13625272163,69.494085,2.443658,0.9912280440330505
0.4,14280154482,13616229384,67.633983,2.412409,0.9912280440330505
0.3,14279395359,13599345877,68.476876,2.426141,0.9824561476707458
0.2,14278542058,13596500173,67.228221,2.436945,0.9736841917037964
0.1,14273028964,13526590925,68.372262,2.408624,0.9649122953414917
0.0,13880342997,13243803184,64.773699,2.289545,0.9649122953414917
