neurons,ins,cycles,accuracy,cpu energy,dram energy
30,14017314584,13440098107,0.9736841917037964,65.751418,2.509698
29,13926014284,13444625971,0.9736841917037964,65.984694,2.571344
28,13937425764,13417713896,0.9649122953414917,68.328317,2.540704
27,13932862058,13404209157,0.9736841917037964,67.739207,2.550835
26,13934846246,13609476206,0.9649122953414917,68.570869,2.625664
25,13920256230,13505454436,0.9824561476707458,67.674631,2.576105
24,13925584157,13440960026,0.9561403393745422,67.186168,2.534661
23,13926479439,13425036942,0.9649122953414917,68.764473,2.528191
22,13918549734,13381884199,0.9736841917037964,65.573563,2.529657
21,13918616221,13406132607,0.9736841917037964,63.845662,2.535943
20,13919118078,13367522905,0.9824561476707458,66.100173,2.501581
19,13894327855,13719915721,0.9736841917037964,68.67054,2.650384
18,13924606925,13674648558,0.9736841917037964,67.375194,2.811944
17,13926957732,13518730435,0.9736841917037964,66.525342,2.755608
16,13927831826,13452232102,0.9736841917037964,63.465474,2.637018
15,13929994275,13423138038,0.9736841917037964,66.093581,2.527093
14,13922017562,13393001100,0.9736841917037964,66.472975,2.539056
13,13930007576,13373528504,0.9649122953414917,66.37422,2.511285
12,13906954774,13755602753,0.9736841917037964,67.21571,2.663933
11,13920811806,13637157533,0.9824561476707458,65.846145,2.60766
10,13920802708,13475930019,0.9736841917037964,66.1183,2.528619
9,13926878668,13477662021,0.9824561476707458,65.812576,2.518793
8,13923991223,13408609894,0.9824561476707458,65.282426,2.500482
7,13927950248,13403974852,0.9912280440330505,66.083083,2.475091
6,13925703332,13410398293,0.9824561476707458,66.740002,2.505547
5,13894519452,13845977404,0.9912280440330505,69.699894,2.682061
