Total Instructions,Total Cycles,L1 Data Cache Misses,L1 Instruction Cache Misses,L2 Data Cache Misses,L2 Instruction Cache Misses,L1 Cache Misses,L2 Cache Misses,L3 Load Misses,Data TLB Misses,Ins TLB Misses,L1 Load Misses,L1 Store Misses,L2 Load Misses,L2 Store Misses,Cycles Stall Waiting for MemWrites,Cycles With 0 ins issue,Cycles With max ins issue,Cycles With no ins comp,Cycles With max ins comp,Unconditional branch ins,Conditional branch ins,Conditional branch ins taken,Conditional branch ins not taken,Conditional branch ins mispred,Conditional branch ins corr_pred,Load ins,Store Ins,Branch Ins,Cycle stalled on any resoruce,Loas/Store ins comp,L2 data cache access,L3 data cache access,L2 data cache reads,L3 data cache reads,L2 data cache writes,L3 data cache writes,L2 ins cache hits,L2 ins cache accesses,L3 ins cache accesses,L2 ins cache reads,L3 ins cache reads,L2 tot cache access,L3 tot cache access,L2 tot cache reads,L3 tot cache reads,L2 tot cache writes,L3 tot cache writes,FLOPS:sing_prec_vec_ops,FLOPS:dob_prec_vec_ops,Sing precision vec ins,Dob prec vec ins,Ref clock cyc,cpu energy,dram energy
2310537.4,2220092.2,59413.4,142939.6,165766.8,64979.4,197510.8,551.8,2.2,2883.8,3200.8,38694.8,7091.6,18068.2,2666.0,7172.6,832545.6,365851.2,1514696.2,437540.0,92233.0,324947.0,68986.8,255189.0,11799.8,312127.2,638156.8,332618.0,416400.2,150763.0,970087.2,188618.6,163449.0,38676.0,18595.2,4852.0,2314.0,77048.2,142016.4,66072.4,140537.8,64722.4,333906.4,229316.2,183346.8,228642.8,4741.2,2382.2,0.0,25156.0,0.0,8096.0,14509.0,0.1041136,0.0042602
2236130.8,2254473.4,61077.4,143530.8,166224.6,64318.8,198060.2,353.6,1.6,2883.8,3204.6,38649.8,7115.6,18252.8,2565.4,9427.2,827653.8,365525.2,1511308.8,437473.6,92220.4,324185.2,68941.6,255204.8,11703.8,312276.4,637810.4,332143.2,416409.0,150288.0,969964.8,189285.6,162713.4,38661.8,18596.4,4812.4,2408.6,76658.0,142548.8,65780.4,140759.6,64751.6,334898.6,229461.0,178927.2,227859.2,4884.0,2397.4,0.0,25156.0,0.0,8096.0,14485.4,0.0011718000000000002,0.00029299999999999997
2238126.0,2221649.2,57940.6,142620.8,165727.4,64748.6,198205.8,842.8,1.0,2881.4,3177.2,38617.0,7127.2,18236.6,3063.6,7182.8,829509.0,366399.0,1518178.8,437873.2,92287.6,324327.6,69079.4,255726.2,11894.0,312678.8,638591.0,332443.2,416801.2,149697.4,971037.8,188916.8,163109.0,38819.2,18591.6,4956.8,2357.6,76929.2,142875.2,66154.8,141376.0,64967.0,335081.0,230667.2,182563.6,229340.4,5062.4,2444.0,0.0,25474.0,0.0,8198.0,14517.2,0.033727999999999994,0.0003052
2243485.2,2222479.2,57301.0,142152.2,167554.4,65045.0,197702.4,333.8,0.6,2869.0,2888.4,38677.2,7134.8,18402.4,2456.6,9365.2,827519.6,368100.2,1516651.0,438334.0,92365.6,324502.6,69093.8,255387.4,11852.8,312888.6,639037.8,332803.2,417074.6,149848.8,972100.4,188433.8,163131.4,39068.4,18491.4,4950.4,2363.0,76256.6,143342.4,65787.4,141235.8,64592.6,332964.2,229663.6,183426.0,228195.4,5077.2,2408.0,0.0,25776.0,0.0,8296.0,14504.6,0.0014282000000000001,0.0002808
2242193.6,2222814.6,57299.8,143466.4,167868.8,65154.0,198213.4,369.6,1.0,2888.6,2637.2,38781.8,7113.8,18345.6,2427.4,5095.0,870376.2,368343.8,1509350.6,438702.0,92434.0,324698.8,69268.0,255919.2,11952.4,312786.0,639903.2,333030.8,417301.6,152634.4,972928.0,189237.2,163254.0,38878.8,18588.6,4954.8,2403.6,75908.6,142648.0,66226.8,141513.4,65322.4,334507.6,230691.2,183797.0,228258.4,4983.2,2385.2,0.0,26094.0,0.0,8398.0,14504.0,0.045703,0.0002442
2243950.0,2228160.4,56663.2,143790.2,167980.6,64833.8,198045.2,354.2,0.6,2857.6,3245.4,38824.4,7136.6,18373.4,2606.8,4879.2,907817.2,367544.8,1516599.8,439306.4,92491.4,324880.4,69326.4,255550.6,11913.4,313222.2,640368.8,333453.4,417462.0,153046.0,973866.8,189138.8,163542.4,38939.2,18576.2,4935.6,2373.2,76270.4,141878.0,66712.2,141102.4,64971.4,335297.6,230877.2,184461.2,229314.0,5143.2,2437.0,0.0,26404.0,0.0,8498.0,14536.2,0.0019286000000000001,0.00019519999999999997
2239669.4,2233536.4,56872.2,143055.0,168132.0,64223.4,198073.6,617.4,0.8,2953.4,3112.4,38659.6,7144.2,18479.4,2507.8,6532.6,851084.0,367502.2,1510049.4,439277.8,92500.4,324879.0,69352.4,256002.6,11865.4,312755.4,640531.2,333404.6,417511.4,153110.0,973941.8,189208.4,163867.2,38787.8,18553.4,5045.6,2374.2,76058.0,141392.6,65905.0,141789.2,64950.6,335339.8,230546.0,182728.6,228188.0,5034.0,2424.8,0.0,26396.0,0.0,8496.0,14514.4,0.0080812,0.00018319999999999998
2231976.4,2243700.6,56681.2,143160.2,167778.0,65043.8,198051.0,728.2,0.4,2910.2,2847.8,38803.0,7210.6,18367.0,2418.2,9395.2,849124.2,369319.8,1517962.6,439745.2,92557.8,325122.4,69421.0,255711.4,11911.8,313405.6,640992.8,333817.8,417738.8,150638.4,974838.4,191167.4,163827.4,38745.2,18595.2,5052.4,2372.0,76370.2,142720.4,66528.0,142083.2,64791.0,334793.2,230737.8,184135.0,229021.0,5097.6,2459.8,0.0,26714.0,0.0,8598.0,14545.6,0.0006226,0.000122
2237033.2,2228146.6,56680.4,142502.6,168109.2,64999.6,197640.8,372.0,0.8,2937.8,3158.2,38921.4,7174.6,18403.0,2613.0,5853.2,829528.6,369121.0,1520361.6,440076.2,92626.2,325281.6,69583.8,256181.0,11777.8,313372.8,641891.0,333973.6,418080.0,154231.8,975889.6,190759.0,163950.2,39226.0,18565.8,5171.2,2360.8,76758.6,143249.0,66015.6,140680.6,65327.2,333061.4,229942.4,182661.8,228693.8,5194.4,2358.2,0.0,27016.0,0.0,8696.0,14536.4,0.038269000000000004,0.00017099999999999998
2236412.0,2226084.2,56873.6,142787.2,168115.0,65037.8,198256.4,530.0,61.0,2898.0,3139.4,39444.2,7280.8,18596.2,2383.0,9483.8,836680.4,369235.0,1521347.2,440178.0,92689.8,325477.6,69553.4,255928.8,11962.4,313708.4,642271.8,334438.6,418260.8,151828.0,976727.4,188495.8,164265.0,38954.0,18601.6,5108.4,2355.8,76365.8,142461.8,66544.2,140931.6,65197.2,326520.4,232691.4,184078.4,229698.6,5172.4,2390.2,0.0,27334.0,0.0,8798.0,14573.8,0.0016968,0.00018319999999999998
