pred,true
59375.37442186507,55742.64
68625.2351769087,69033.64
57476.25650444353,55057.24
65060.98616948907,97627.33
68187.34735510394,63272.54
65242.0070373989,62391.82
70978.93475981333,64559.15
65207.27906368172,64229.58
60872.92897466014,57758.04
69658.67280540502,63538.66
70662.00865197353,64853.35
62252.90863186898,60351.42
63288.29622913001,63176.13
60698.94606004108,56339.56
67905.79819564056,63919.51
63270.10159530485,60845.18
62689.0422212338,64676.34
67099.19866901595,65186.59
65724.07117030924,59374.85
70029.40675643986,91394.43
59318.33207214999,53405.02
56489.895491921925,55120.71
68501.97914323723,66091.74
64629.73322913589,92348.4
69150.70311489605,63315.27
63401.021213557106,61302.34
70419.54354188847,63986.04
66165.21945182077,63451.99
62939.22615704019,59128.88
62109.37953458264,61492.76
61798.45180266409,62889.85
68644.57726056682,63141.9
60754.905190435646,56976.79
66156.02361429136,63021.71
61641.800687152456,57668.89
69778.85121159602,64796.57
61999.35933618463,57643.29
61870.17771150684,58523.41
67295.73896265536,62887.41
68636.93353959822,70146.31
69566.56103082834,69697.08
58126.41500587843,56143.05
67759.12542798792,61742.37
61595.43031683561,61514.13
66460.08723577356,62388.14
pred,true
63009.80321210821,66027.07
60271.44153077139,60512.56
64071.557987741544,61995.69
60580.74609917942,60574.82
63270.05149065486,61501.93
64813.7277463683,65886.68
61900.1118870834,62889.85
65329.01803907256,64819.16
63948.894447618484,64396.18
65521.02456471167,66141.79
64655.65985564863,66372.5
64674.46823958558,66614.2
62809.33110747278,63724.2
62973.38675183129,60560.78
61665.43226365418,62253.25
64631.73046825724,64448.06
64021.48409228597,63730.91
61718.814521035136,62209.91
63801.664885320264,63278.04
65911.97723220952,68302.43
65345.853835532005,64391.32
65682.52288606073,66046.6
64018.86732428342,68177.3
63817.02397427471,61602.63
65416.64955448537,67364.33
64832.49388603729,64039.75
62976.66094996754,60396.58
64504.97651251384,65599.81
pred,true
65427.77284886931,68489.2
65500.12778084747,67056.12
65466.295851311246,63921.96
65450.68016573301,66614.2
65568.63371123462,63986.04
65488.31069306999,64628.14
65607.44705059638,66046.6
65520.09244035238,65966.64
65405.33056818528,65602.86
65462.86641622953,64090.42
65569.6520525964,64527.44
65535.14425951436,64864.33
65518.759119191105,65930.61
65645.98143662578,65898.87
