pred,true
39390.81941940647,45227.0
46049.14286892,37963.0
44236.4888897232,26794.0
28509.92595749878,35095.0
44568.98425938541,42907.0
24702.13299567331,22094.0
51963.85160297468,50903.0
27382.89706430424,39185.0
44362.685263182095,58227.0
27197.7327087445,23620.0
36813.671789911954,43884.0
39962.62206937029,41259.0
42902.594000497455,29663.0
39756.578778971685,31555.0
32900.094448431686,24170.0
27003.296238352195,21118.0
27993.944996473117,21972.0
42387.36903924233,41565.0
37450.701655370736,43762.0
42232.26679220458,43091.0
50870.6092289363,56518.0
39057.934932215285,50476.0
27206.23770616288,34424.0
38578.72001885317,41992.0
38523.13180043237,35889.0
45751.11219467869,51453.0
47942.64435298805,56458.0
31507.754106358305,37110.0
44514.796864068805,30457.0
37083.66376678183,46569.0
41409.47221842714,41687.0
25949.38808766837,35706.0
41897.458952656074,24170.0
27957.95718386749,23072.0
31204.031198550685,22827.0
27002.97382668534,34423.0
39481.35039192659,42663.0
41914.51341806754,34058.0
37817.40601464914,44495.0
37188.55873494188,24109.0
54182.49969422973,40649.0
35152.57352941763,23132.0
47349.20676841482,38635.0
29924.634998664696,36621.0
36517.84240912009,34546.0
32033.107241009682,33692.0
57934.96014343911,60424.0
44157.06444324355,55115.0
35567.050403606874,40466.0
56445.52941907194,40161.0
35337.97135549472,37964.0
43847.71600773174,43335.0
46814.525930712465,54443.0
38150.69073701295,43396.0
29109.989657707745,32654.0
33920.13825645353,34363.0
50161.9150322894,75989.0
40308.34743501668,32104.0
47069.88708849397,68481.0
41700.22083605535,33203.0
31380.30143916307,22156.0
26718.562265957094,22888.0
40527.9097801352,44922.0
39599.25300319714,28198.0
26659.127342821594,36743.0
49674.43970966994,73974.0
25679.296052005375,22034.0
46657.92280177734,31555.0
36941.62475107296,43152.0
36767.6669803469,43579.0
52775.72865065429,53711.0
34794.22963818972,26367.0
29121.429713058722,49195.0
49702.28940709878,45471.0
40143.23930866318,45593.0
27528.24913783095,21729.0
29024.428271914425,22522.0
46394.77929341694,25268.0
38971.60642900778,43884.0
27470.270626018057,20264.0
38841.75235077678,24231.0
35716.63829937726,24170.0
30101.427768530237,32226.0
41797.30010070544,46814.0
31804.02819289753,36194.0
40732.4410709927,35156.0
57561.296139214435,44982.0
29875.039190189622,23926.0
42513.73217735652,30457.0
37036.21366353781,41626.0
39876.21574265699,31800.0
37443.26395174605,47486.0
40891.43449331992,46692.0
39761.326012824866,44067.0
43151.90716011479,240112.0
40090.31932472659,34180.0
37796.771667971334,37903.0
45875.30739227444,32532.0
41325.60071447381,56762.0
41662.77661212708,30762.0
45570.895190558425,61279.0
40040.99033969996,29052.0
46595.00805616868,49927.0
50113.36428232066,59021.0
38546.63449918071,53406.0
30838.33854484753,34607.0
23466.707076558174,34728.0
38747.70820285243,45227.0
29737.269349655515,21362.0
27997.42481894628,31005.0
46776.57029517472,53955.0
25814.286481618445,32715.0
47222.75468915119,35217.0
41003.355812288355,42785.0
30219.930732559704,36072.0
39156.4928434754,38208.0
30786.819384015136,34424.0
42410.049032358016,50720.0
36748.55575085382,37903.0
55018.05732295662,75866.0
26663.363165065268,24659.0
34378.62988198837,25695.0
51187.539897440714,48035.0
39074.333456649445,33448.0
39233.88276116084,35828.0
38927.45826593798,44190.0
48431.50938106803,53833.0
36033.23543857114,40711.0
43272.88935868582,29541.0
47765.18452450144,55603.0
29876.251013351226,24291.0
28336.746421830583,33508.0
31298.920287395013,23926.0
33676.91756557513,44250.0
30853.947716580093,24475.0
41798.46745329225,31067.0
39561.775426337816,46570.0
48990.89362303662,52124.0
44303.10581067871,27099.0
42102.27930224937,40222.0
50061.678356833,57556.0
44855.26358425259,57617.0
27944.57154087175,31738.0
47743.138237075764,55847.0
27548.260896462452,33935.0
38408.842423359194,42602.0
31612.371133426263,35278.0
27646.652043067268,24292.0
27969.97535669006,26001.0
29386.229750328086,21667.0
27564.726126758673,33203.0
39029.68499961385,27526.0
38397.48019151398,46692.0
50120.75751537064,78918.0
43388.01255903533,48339.0
30265.71318925108,33508.0
46657.38915488051,47302.0
30352.66428050492,23254.0
48406.28344754866,52796.0
47589.670283659594,58411.0
49892.7235257648,30274.0
35389.75733977553,40772.0
29042.060854797484,21545.0
46815.759989161365,30273.0
40930.09054040976,45288.0
38096.13645945478,41138.0
40719.35560437647,31616.0
47092.45590517283,60424.0
50966.75461151694,59570.0
40568.97835590449,36865.0
42985.731739967596,49072.0
51975.42507004991,51879.0
28160.320534206607,22339.0
47482.82972785478,27221.0
44701.30645451433,25146.0
46196.629530034115,53711.0
27458.36362963231,22095.0
43764.65609176736,50537.0
29384.884515442303,25330.0
34668.944911512895,45044.0
29552.827640935255,33386.0
29683.99360112101,34057.0
27695.992145737575,22583.0
44664.25134811504,32227.0
44987.596897025185,42847.0
41252.71344248045,28808.0
38787.09801442543,44617.0
33452.77475125875,39856.0
37360.77103560956,42297.0
42348.45728634775,58472.0
45938.42225546943,33325.0
41043.65727064345,32715.0
37848.51318167744,43701.0
27916.321608270315,34057.0
30365.393982523296,34851.0
45966.105188243004,52307.0
45658.69122273225,46326.0
37011.5102592716,46325.0
37989.71837410997,24170.0
30107.764825430233,24719.0
54407.68756705242,64392.0
40100.32520404231,44616.0
46466.03227178872,66162.0
46517.384667965875,61157.0
37280.31264826728,49133.0
28221.056221653183,22522.0
46203.177822164056,53528.0
25310.001281748555,21363.0
26530.518440683198,24047.0
44120.99880713213,56396.0
44041.518772434036,47363.0
37271.45188625099,63782.0
32438.589941458427,23011.0
44694.19116255647,24841.0
27154.89642762943,23987.0
40353.8074800412,43518.0
42105.71465414777,40772.0
33056.019401102065,26611.0
49379.21068163702,42359.0
45911.573145972216,30334.0
38399.34795565292,43518.0
37176.040268153534,46814.0
52084.644801603106,50110.0
28378.671056163555,33203.0
30114.346470491233,33387.0
39226.634057478776,44982.0
49420.001316314214,54809.0
24648.001188575145,35827.0
36781.75303489473,24109.0
47048.21880095353,63537.0
32098.579044665705,10498.0
39470.49957169086,59143.0
52173.04118653588,76782.0
28745.731180039846,32227.0
40487.897380515904,56579.0
39377.556070491264,27832.0
46429.45522406782,65612.0
63759.66043422681,47668.0
45319.44744335371,30823.0
36529.91617016107,24048.0
46824.7986334766,56824.0
38908.48044816911,36988.0
45918.0880851711,58289.0
26518.400209067506,35034.0
25568.364203324774,21240.0
41263.8310861646,39551.0
25697.206575980526,22339.0
46733.44495532385,40345.0
56285.935643985795,37231.0
27235.19916796012,23804.0
