Total Instructions,Total Cycles,cpu energy,dram energy,total energy,total time
3231105,2592934,37659.0,855.0,38514.0,0.0007414817810058594
3229957,2716423,28016.0,488.0,28504.0,0.0008263587951660156
3229816,2563323,29969.0,549.0,30518.0,0.0006148815155029297
3231130,2582284,32470.0,428.0,32898.0,0.0006229877471923828
3229776,2773386,27160.0,366.0,27526.0,0.0005998611450195312
3231058,2587235,31372.0,427.0,31799.0,0.0006000995635986328
3371776,2508421,734983.0,16907.0,751890.0,0.04466390609741211
3233431,2533238,39917.0,794.0,40711.0,0.0007717609405517578
3230476,2508340,29114.0,671.0,29785.0,0.000885009765625
3231025,2528482,25086.0,549.0,25635.0,0.0006775856018066406
3230331,2517713,39490.0,427.0,39917.0,0.0006289482116699219
3231479,2527076,30579.0,427.0,31006.0,0.0006844997406005859
3230281,2516575,31677.0,0.0,31677.0,0.0006062984466552734
3231400,2528842,27405.0,366.0,27771.0,0.0006468296051025391
3370088,2684137,791685.0,21728.0,813413.0,0.037003278732299805
3233062,2622430,26734.0,611.0,27345.0,0.0007584095001220703
3229901,2886621,36438.0,977.0,37415.0,0.000789642333984375
3230333,2605338,0.0,916.0,916.0,0.0007369518280029297
3229775,2616008,27893.0,793.0,28686.0,0.0006690025329589844
3230925,2619661,26001.0,793.0,26794.0,0.0006215572357177734
3229735,2620406,30884.0,732.0,31616.0,0.0007181167602539062
3230854,2667644,32898.0,1099.0,33997.0,0.0006861686706542969
3373185,2545622,451476.0,9582.0,461058.0,0.02493882179260254
3232729,2572275,25940.0,305.0,26245.0,0.0007126331329345703
3231695,2530617,0.0,0.0,0.0,0.0006120204925537109
3231027,2538661,30762.0,366.0,31128.0,0.0006732940673828125
3230333,2522985,0.0,0.0,0.0,0.000598907470703125
3231474,2583010,31494.0,366.0,31860.0,0.0006368160247802734
3230283,2564394,31616.0,366.0,31982.0,0.0005884170532226562
3231401,2550956,36682.0,367.0,37049.0,0.0005939006805419922
3382153,2607376,535887.0,11291.0,547178.0,0.030158281326293945
3241320,2627812,23865.0,427.0,24292.0,0.0006735324859619141
3239251,2572305,0.0,0.0,0.0,0.0005905628204345703
3239677,2603408,26184.0,366.0,26550.0,0.0006425380706787109
3239118,2614848,28931.0,367.0,29298.0,0.0006604194641113281
3240276,2556195,0.0,0.0,0.0,0.0005910396575927734
3239079,2558072,31616.0,366.0,31982.0,0.0006909370422363281
3240196,2623738,24841.0,366.0,25207.0,0.0006241798400878906
3374417,2558272,644042.0,16174.0,660216.0,0.031070947647094727
3233349,2538196,31555.0,915.0,32470.0,0.0007598400115966797
3231369,2539612,26612.0,549.0,27161.0,0.0006041526794433594
3231925,2558318,29235.0,610.0,29845.0,0.0006425380706787109
3231224,2542084,21973.0,427.0,22400.0,0.0005943775177001953
3232372,2546227,30883.0,549.0,31432.0,0.0006303787231445312
3231181,2544046,23010.0,489.0,23499.0,0.000598907470703125
3232292,2533479,28259.0,488.0,28747.0,0.0005955696105957031
3377842,2587115,494017.0,18128.0,512145.0,0.031943321228027344
3239706,2590315,24903.0,550.0,25453.0,0.0006780624389648438
3237218,2558719,0.0,0.0,0.0,0.0006282329559326172
3237992,2566182,0.0,0.0,0.0,0.0006699562072753906
3237317,2562071,28137.0,367.0,28504.0,0.0006263256072998047
3238456,2562932,29846.0,366.0,30212.0,0.0006005764007568359
3237267,2567817,0.0,0.0,0.0,0.0006430149078369141
3238384,2578218,23987.0,305.0,24292.0,0.0005981922149658203
3372791,2523596,659239.0,15198.0,674437.0,0.04514670372009277
3234454,2558705,26489.0,367.0,26856.0,0.0006430149078369141
3233031,2552963,33142.0,427.0,33569.0,0.0006420612335205078
3233788,2533000,0.0,0.0,0.0,0.0005962848663330078
3233114,2525129,31860.0,427.0,32287.0,0.0006709098815917969
3234255,2534004,24964.0,366.0,25330.0,0.0006506443023681641
3233064,2527350,30700.0,305.0,31005.0,0.0005919933319091797
3234182,2522066,0.0,0.0,0.0,0.0005869865417480469
3380221,2624924,551695.0,12329.0,564024.0,0.024755477905273438
3241193,2596393,27160.0,0.0,27160.0,0.0007109642028808594
3238895,2583519,32532.0,366.0,32898.0,0.0006275177001953125
3239320,2576526,0.0,0.0,0.0,0.0006561279296875
3238762,2576838,41259.0,305.0,41564.0,0.0006024837493896484
3239921,2575212,0.0,0.0,0.0,0.0006511211395263672
3238722,2565073,28442.0,305.0,28747.0,0.000598907470703125
3239840,2579942,0.0,0.0,0.0,0.0006902217864990234
3379010,2606295,385985.0,9888.0,395873.0,0.027031898498535156
3241022,2561751,31006.0,305.0,31311.0,0.0006625652313232422
3239624,2575216,42724.0,489.0,43213.0,0.0006351470947265625
3238963,2602156,20386.0,305.0,20691.0,0.0006563663482666016
3237280,2553388,35278.0,427.0,35705.0,0.0006017684936523438
3238392,2588588,0.0,0.0,0.0,0.0006427764892578125
3237202,2575624,33936.0,366.0,34302.0,0.0005998611450195312
3238320,2548162,0.0,366.0,366.0,0.0005970001220703125
3377614,2586696,535704.0,13061.0,548765.0,0.03278088569641113
3239251,2633969,29479.0,1648.0,31127.0,0.0007059574127197266
3237637,2662171,35095.0,672.0,35767.0,0.0006260871887207031
3237555,2622007,29297.0,610.0,29907.0,0.0006852149963378906
3236402,2602955,29114.0,611.0,29725.0,0.0006084442138671875
3237019,2581952,34667.0,671.0,35338.0,0.0006513595581054688
3236452,2595106,33630.0,672.0,34302.0,0.0006084442138671875
3237355,2583934,31372.0,732.0,32104.0,0.0005993843078613281
3367454,2522610,667296.0,15259.0,682555.0,0.04199028015136719
3226693,2509584,26061.0,366.0,26427.0,0.0006768703460693359
3225649,2508641,0.0,0.0,0.0,0.0006008148193359375
3226082,2525081,31433.0,305.0,31738.0,0.0006678104400634766
3225524,2520747,0.0,0.0,0.0,0.0006060600280761719
3226675,4410979,34607.0,366.0,34973.0,0.0006401538848876953
3225484,3013851,0.0,0.0,0.0,0.0005867481231689453
3226602,2618375,26306.0,305.0,26611.0,0.0005881786346435547
3370329,2530268,445067.0,9643.0,454710.0,0.02593231201171875
3228359,2514151,46143.0,794.0,46937.0,0.0006935596466064453
