Total Instructions,Total Cycles,cpu energy,dram energy,total energy,total time
6027054,4888491,511840.0,19104.0,530944.0,0.04521632194519043
5862949,4990400,22766.0,671.0,23437.0,0.0013043880462646484
5864339,5152798,44433.0,1038.0,45471.0,0.001260995864868164
5861932,5135386,31067.0,427.0,31494.0,0.0012369155883789062
5862824,4954448,25635.0,610.0,26245.0,0.0012247562408447266
5863323,5033806,38635.0,672.0,39307.0,0.0012216567993164062
5863136,4692022,21851.0,305.0,22156.0,0.0011944770812988281
5864911,5433907,24414.0,305.0,24719.0,0.0011942386627197266
5864799,5167988,46081.0,671.0,46752.0,0.0011782646179199219
5864991,4833634,26794.0,367.0,27161.0,0.0011818408966064453
5866454,5425066,24903.0,366.0,25269.0,0.001178741455078125
5867203,5104325,29602.0,366.0,29968.0,0.0011773109436035156
5866836,4885943,42114.0,671.0,42785.0,0.001215219497680664
5868463,4635590,22705.0,367.0,23072.0,0.0011968612670898438
5869036,5061089,27649.0,366.0,28015.0,0.001192331314086914
5869039,5222107,20935.0,305.0,21240.0,0.0012078285217285156
5869296,4908806,64636.0,671.0,65307.0,0.0011954307556152344
5868586,5959437,28198.0,245.0,28443.0,0.0012469291687011719
5868552,6134539,36377.0,732.0,37109.0,0.00124359130859375
5869448,4752918,54260.0,855.0,55115.0,0.0012080669403076172
5869895,4753334,22400.0,366.0,22766.0,0.0012052059173583984
5870081,5788018,27160.0,427.0,27587.0,0.001191854476928711
5872797,4902276,41260.0,610.0,41870.0,0.0012047290802001953
5871626,4731173,25269.0,428.0,25697.0,0.0012044906616210938
5870996,5088699,23803.0,488.0,24291.0,0.0012984275817871094
5864507,5288211,56335.0,671.0,57006.0,0.001211404800415039
5865201,4868791,28992.0,427.0,29419.0,0.0012173652648925781
5865114,4985949,26611.0,367.0,26978.0,0.0011909008026123047
5866323,6384665,25452.0,427.0,25879.0,0.0011823177337646484
5867100,4937035,43884.0,671.0,44555.0,0.0011935234069824219
5866985,5573093,23804.0,428.0,24232.0,0.001209259033203125
5868484,6275791,25512.0,366.0,25878.0,0.0012102127075195312
5867721,4828988,44556.0,671.0,45227.0,0.0012001991271972656
5867460,6001948,27527.0,488.0,28015.0,0.0012137889862060547
5868552,5993051,25390.0,367.0,25757.0,0.0012531280517578125
5868937,5061505,25757.0,488.0,26245.0,0.001220703125
5867911,6072946,49133.0,976.0,50109.0,0.0013048648834228516
5869590,5097303,34058.0,977.0,35035.0,0.0013191699981689453
5870069,5091508,45471.0,794.0,46265.0,0.0012044906616210938
5869993,6861302,24780.0,488.0,25268.0,0.001188039779663086
5870720,4891384,21179.0,305.0,21484.0,0.0011796951293945312
5872666,6686081,21668.0,305.0,21973.0,0.0011749267578125
5872546,5015389,46752.0,733.0,47485.0,0.0012333393096923828
5874072,5360862,28565.0,427.0,28992.0,0.001249551773071289
5874448,6172467,25818.0,366.0,26184.0,0.0012004375457763672
5874125,5537699,42907.0,549.0,43456.0,0.0011980533599853516
5874432,5545209,23865.0,367.0,24232.0,0.0012774467468261719
5872245,4965969,36987.0,915.0,37902.0,0.0012936592102050781
5869911,6498820,64392.0,1343.0,65735.0,0.0012941360473632812
5872610,5078586,27527.0,488.0,28015.0,0.0012578964233398438
5872891,5551660,28564.0,488.0,29052.0,0.0012879371643066406
5872499,5321328,44983.0,855.0,45838.0,0.0012578964233398438
5873351,5066282,27344.0,366.0,27710.0,0.001219034194946289
5873889,6416841,19897.0,305.0,20202.0,0.0012061595916748047
5873633,4826797,44739.0,611.0,45350.0,0.0012159347534179688
5875069,6214676,24475.0,366.0,24841.0,0.0012333393096923828
5873853,5245890,29480.0,732.0,30212.0,0.0012621879577636719
5874943,5462280,40649.0,794.0,41443.0,0.0012545585632324219
5876726,4817187,32410.0,610.0,33020.0,0.001249074935913086
5877394,5340024,22460.0,488.0,22948.0,0.0012526512145996094
5877096,4662900,44800.0,733.0,45533.0,0.001214742660522461
5878477,4152100,31372.0,732.0,32104.0,0.0012645721435546875
5879298,4109803,35645.0,1038.0,36683.0,0.0013661384582519531
5880874,4080390,54504.0,854.0,55358.0,0.0012881755828857422
5868670,4237969,28686.0,672.0,29358.0,0.0015304088592529297
5867706,4049228,103943.0,4089.0,108032.0,0.0018622875213623047
5867210,4067860,24719.0,1221.0,25940.0,0.0013582706451416016
5869531,4052969,25269.0,671.0,25940.0,0.001203298568725586
5868434,4063262,45104.0,1160.0,46264.0,0.0011930465698242188
5868409,4065995,23072.0,610.0,23682.0,0.001249551773071289
5869719,4089244,25085.0,671.0,25756.0,0.001232147216796875
5871211,4053759,49560.0,1404.0,50964.0,0.0012252330780029297
5870095,4089509,22461.0,672.0,23133.0,0.0012235641479492188
5873072,4067797,22827.0,610.0,23437.0,0.0012106895446777344
5872644,4055664,24292.0,549.0,24841.0,0.001287698745727539
5873801,4083279,28015.0,671.0,28686.0,0.0012612342834472656
5874768,4094157,38208.0,1343.0,39551.0,0.0014767646789550781
5876025,4091829,26246.0,1281.0,27527.0,0.0014388561248779297
5874209,4123864,27404.0,855.0,28259.0,0.001239776611328125
5875686,4104649,45838.0,1282.0,47120.0,0.001247406005859375
5876409,4097582,26000.0,915.0,26915.0,0.0013196468353271484
5876417,4082106,27649.0,794.0,28443.0,0.0012357234954833984
5877508,4096691,45899.0,1281.0,47180.0,0.0012192726135253906
5877732,4054933,27771.0,916.0,28687.0,0.001232147216796875
5877347,4079896,69152.0,2380.0,71532.0,0.0014560222625732422
5878592,4072918,30884.0,916.0,31800.0,0.001249074935913086
5877943,4070323,24719.0,732.0,25451.0,0.0012192726135253906
5877852,4077168,49988.0,1953.0,51941.0,0.0013210773468017578
5879946,4111490,24597.0,2076.0,26673.0,0.001312255859375
5880904,4040740,33020.0,2197.0,35217.0,0.001337289810180664
5880881,4138467,25024.0,1159.0,26183.0,0.0013363361358642578
5882163,4072924,21851.0,794.0,22645.0,0.0012133121490478516
5882947,4082476,47546.0,1465.0,49011.0,0.0012302398681640625
5882825,4124216,26367.0,1098.0,27465.0,0.0013325214385986328
5884805,4134618,25513.0,855.0,26368.0,0.001216888427734375
5885125,4071121,51147.0,1831.0,52978.0,0.0012137889862060547
5885057,4095492,30884.0,915.0,31799.0,0.0012433528900146484
5886306,4091054,30945.0,733.0,31678.0,0.0012772083282470703
5886601,4080950,17089.0,427.0,17516.0,0.0012459754943847656
5885946,4059851,26917.0,611.0,27528.0,0.0012292861938476562
5886861,4061822,27161.0,1343.0,28504.0,0.0014216899871826172
5887447,4064952,51696.0,1770.0,53466.0,0.0013315677642822266
5887197,4070762,29785.0,1281.0,31066.0,0.0013899803161621094
5887696,4075760,48950.0,1831.0,50781.0,0.001251220703125
5887719,4049085,32288.0,855.0,33143.0,0.0012025833129882812
5887848,4050080,28381.0,732.0,29113.0,0.0011887550354003906
5888991,4064137,59692.0,1465.0,61157.0,0.0011835098266601562
5890210,4048424,23255.0,733.0,23988.0,0.0012028217315673828
5889483,4044977,24292.0,793.0,25085.0,0.0012028217315673828
5891416,4150118,24658.0,732.0,25390.0,0.0012392997741699219
5891846,4169407,48339.0,1465.0,49804.0,0.0012679100036621094
5892069,4074954,25940.0,550.0,26490.0,0.001230001449584961
5892151,4048073,67017.0,2624.0,69641.0,0.0016071796417236328
5893017,4044838,28198.0,671.0,28869.0,0.0013053417205810547
5890431,4049482,29663.0,550.0,30213.0,0.0012004375457763672
5891769,4046291,57007.0,976.0,57983.0,0.0011928081512451172
5891890,4035511,20446.0,428.0,20874.0,0.0012121200561523438
5891660,4268497,25025.0,549.0,25574.0,0.0012011528015136719
5892551,4061249,66101.0,2258.0,68359.0,0.0014388561248779297
5893233,4221745,62011.0,2991.0,65002.0,0.0020351409912109375
5892734,4441064,65186.0,3296.0,68482.0,0.001459360122680664
5894229,7601731,32836.0,1587.0,34423.0,0.0014190673828125
5895308,4539731,57923.0,2929.0,60852.0,0.0019474029541015625
