Matrix Size,Total Instructions,Total Cycles,L1 Data Cache Misses,L1 Instruction Cache Misses,L2 Data Cache Misses,L2 Instruction Cache Misses,L1 Cache Misses,L2 Cache Misses,L3 Load Misses,Data TLB Misses,Ins TLB Misses,L1 Load Misses,L1 Store Misses,L2 Load Misses,L2 Store Misses,Cycles Stall Waiting for MemWrites,Cycles With 0 ins issue,Cycles With max ins issue,Cycles With no ins comp,Cycles With max ins comp,Unconditional branch ins,Conditional branch ins,Conditional branch ins taken,Conditional branch ins not taken,Conditional branch ins mispred,Conditional branch ins corr_pred,Load ins,Store Ins,Branch Ins,Cycle stalled on any resoruce,Loas/Store ins comp,L2 data cache access,L3 data cache access,L2 data cache reads,L3 data cache reads,L2 data cache writes,L3 data cache writes,L2 ins cache hits,L2 ins cache accesses,L3 ins cache accesses,L2 ins cache reads,L3 ins cache reads,L2 tot cache access,L3 tot cache access,L2 tot cache reads,L3 tot cache reads,L2 tot cache writes,L3 tot cache writes,FLOPS:sing_prec_vec_ops,FLOPS:dob_prec_vec_ops,Sing precision vec ins,Dob prec vec ins,Ref clock cyc,cpu energy,dram energy,total energy,total time
500,46478746,29760438,868452,11459,629160,14676,889046,33193,963,10649,1424,87158,42368,14398,10961,654579,1580060,8555464,14571146,9863305,1011471,1866312,845572,1020814,5367,1861226,9946215,3397804,2877430,1690989,13361773,132943,682894,80456,21943,32440,11126,5020,9657,10527,11952,7006,150445,681480,99487,668014,35078,10944,0,33074644,0,10382604,323032,841062.0,16358.0,857420.0,0.0068209171295166016
501,46579358,28168005,956926,6439,823610,6241,959232,153540,1147,3872,354,76107,131197,12901,42836,681331,1379772,8420517,13017172,9863627,1013730,1871932,847630,1025065,4796,1873834,9945170,3410892,2885663,1673622,13357057,209144,834659,80998,21302,149078,45231,882,6454,6791,7960,6925,221101,845009,81598,824684,149034,44076,0,33206188,0,10393042,301392,321410.0,7873.0,329283.0,0.012552499771118164
502,46722270,27999988,959412,5971,786986,7053,916842,109492,1077,4168,356,67071,131223,13120,43071,839986,1381067,8444075,13235658,9856284,1017665,1877814,849606,1045242,4628,1872884,9944497,3424041,2896445,1609178,13367334,216231,823720,76200,21168,148572,45196,685,5690,5845,7298,6315,220411,850517,83067,818897,150214,44396,0,33337996,0,10403440,292176,346618.0,8667.0,355285.0,0.01352548599243164
503,46811272,28641861,957861,10627,824977,5615,957255,113249,1293,4260,371,71806,132085,13688,44877,691175,1503706,8463794,13111454,10025305,1021701,1883517,851473,1032085,4970,1878607,9942016,3437663,2905182,1480451,13381349,212086,810738,71847,19801,150080,45165,1359,7513,5957,6977,6264,220154,848308,80531,720992,148118,43817,0,33470068,0,10413798,292961,356139.0,8972.0,365111.0,0.012731552124023438
504,46908939,28741890,949801,6864,840227,6416,884371,109947,1144,5326,356,73835,132351,14244,43980,638656,1445142,8488287,13048940,9966228,1048832,1888903,853402,1035618,4697,1884834,9942612,3450855,2915902,2158803,13394123,213567,800098,66435,17930,150232,44527,1003,13410,4940,9425,6680,216907,833370,82568,732664,147450,44379,0,33602404,0,10424116,275342,349242.0,7995.0,357237.0,0.012405633926391602
505,46309612,28532561,935615,6890,817105,5118,917201,109406,1348,5374,312,62088,132395,13570,44732,603579,1447938,8393229,12548905,9860447,1044695,1893223,852649,1036848,4639,1886226,9591836,3464176,2920457,2189015,13055903,201641,784128,60360,18548,150962,45348,1235,11739,6830,7304,5735,205845,839252,70895,798500,151142,43986,0,34243370,0,9935594,275931,347655.0,8423.0,356078.0,0.012459278106689453
506,46424197,28515130,883521,6340,812511,5397,879056,107518,1814,5212,312,61991,133099,12170,45019,555592,1442985,8414385,12674802,9859668,1077796,1894670,854446,1041024,4616,1891283,9588883,3477510,2930183,1705712,13067691,199716,802048,55263,18099,152426,45530,840,9263,8400,6550,5647,206099,820217,68782,785725,151830,44709,0,34378204,0,9941788,280019,320434.0,5676.0,326110.0,0.012335777282714844
507,46529381,28844164,929489,5949,809542,5362,891180,115488,3048,4744,338,60793,133570,12223,44709,642740,1397414,8434156,12698063,9872291,1050007,1901430,856461,1045426,4474,1896599,9582836,3491094,2939547,1604504,13075503,200327,795041,54538,16298,152330,45304,733,7405,6645,7377,5818,205265,821783,68053,705009,152116,44980,0,34513306,0,9947930,281841,320068.0,5493.0,325561.0,0.012501955032348633
508,46643733,28509421,936383,12597,805593,5341,913442,112993,3467,4694,385,59268,132984,11126,44145,666461,1381439,8460990,12842247,10158967,1041233,1906614,857795,1053083,5117,1938425,9575241,3504341,3083353,1544587,13087089,196813,777353,58821,16823,152628,45744,755,8260,5695,6688,5534,205421,798713,66940,787459,151796,45395,0,34648676,0,9954020,288001,322570.0,6103.0,328673.0,0.012502670288085938
509,46749867,28189565,936835,10877,802995,4783,944734,197555,2236,4629,503,57221,132767,11581,45208,732582,1396210,8481743,12547913,10207542,1064104,1911939,859630,1058353,5086,1920741,9578492,3527399,3014929,1815269,13096314,197956,769924,59376,16994,154332,46056,709,5918,5419,8434,6038,204940,817414,63908,773761,153942,45308,0,34784314,0,9960058,289772,323851.0,6104.0,329955.0,0.012501001358032227
510,46860696,28496290,759577,12581,800951,5229,940173,203915,2206,4982,487,57472,134665,12036,45689,668789,1371789,8502426,12723220,10126114,1062087,1917238,861146,1058492,4905,1927153,9574308,3536459,2997343,1615942,13105998,198222,771677,58286,16552,154592,46346,798,5269,4653,8149,6043,204434,813898,61811,764595,155016,45747,0,34920220,0,9966044,292276,321228.0,6897.0,328125.0,0.012620925903320312
511,46959947,28459373,937244,10434,802915,4819,953847,208161,1650,4514,518,58014,138331,11909,45280,685641,1399414,8518324,13046979,10136848,1052920,1916549,858545,1066931,4744,1913699,9579422,3548319,2995262,1663003,13125889,201331,775056,57240,14915,154254,46749,716,5835,5926,8495,5805,209124,819761,59684,774018,156840,45310,0,35056394,0,9971978,296588,350280.0,6836.0,357116.0,0.012535810470581055
