Matrix Size,Total Instructions,Total Cycles,L1 Data Cache Misses,L1 Instruction Cache Misses,L2 Data Cache Misses,L2 Instruction Cache Misses,L1 Cache Misses,L2 Cache Misses,L3 Load Misses,Data TLB Misses,Ins TLB Misses,L1 Load Misses,L1 Store Misses,L2 Load Misses,L2 Store Misses,Cycles Stall Waiting for MemWrites,Cycles With 0 ins issue,Cycles With max ins issue,Cycles With no ins comp,Cycles With max ins comp,Unconditional branch ins,Conditional branch ins,Conditional branch ins taken,Conditional branch ins not taken,Conditional branch ins mispred,Conditional branch ins corr_pred,Load ins,Store Ins,Branch Ins,Cycle stalled on any resoruce,Loas/Store ins comp,L2 data cache access,L3 data cache access,L2 data cache reads,L3 data cache reads,L2 data cache writes,L3 data cache writes,L2 ins cache hits,L2 ins cache accesses,L3 ins cache accesses,L2 ins cache reads,L3 ins cache reads,L2 tot cache access,L3 tot cache access,L2 tot cache reads,L3 tot cache reads,L2 tot cache writes,L3 tot cache writes,FLOPS:sing_prec_vec_ops,FLOPS:dob_prec_vec_ops,Sing precision vec ins,Dob prec vec ins,Ref clock cyc,cpu energy,dram energy,total energy,total time
900,166020380,101775871,4596604,14353,3188810,8935,4118131,197527,6106,14283,960,198596,323204,31253,97967,2771339,4894738,30064429,45526006,33636367,3293299,6059941,2765638,3295126,13685,6046506,38163731,11058926,9331134,5834143,49218139,531098,3254643,195631,51259,344626,107849,5708,15802,7714,15072,10328,541231,3284958,205170,3159870,347990,96582,0,188337572,0,51949796,1271753,1155148.0,34973.0,1190121.0,0.023886680603027344
901,166387203,102724009,4271441,13868,3199717,19771,3972982,190108,5962,14946,1352,197342,324998,33590,97827,2647990,4884287,30183451,46077647,33664582,3280300,6078931,2777180,3301875,13972,6066164,38268505,11082893,9358305,5126542,49342618,512060,3330679,208932,56662,344616,99178,6001,13380,7799,12906,9036,555042,3332543,212656,2941243,344020,94993,0,188757652,0,52065628,1261545,964841.0,32592.0,997433.0,0.037049055099487305
902,166746040,101199459,4561478,14084,3023300,11581,4431088,193814,6046,14347,1027,200724,321008,33457,96145,2788065,4985287,30229436,46653605,33838037,3287058,6098178,2788331,3309879,14280,6084098,38378512,11106902,9383392,5869110,49485572,537744,3399343,180600,58011,346516,98981,6092,14713,8962,15035,9205,550915,3331488,207958,3204358,340096,93913,0,189178196,0,52181588,1211258,965208.0,31250.0,996458.0,0.03656601905822754
903,167155598,102774837,4629569,12466,3039937,8512,4625224,297069,6946,14497,713,194762,322111,38537,98452,2949441,4925753,30301316,46578370,33707614,3294850,6118467,2799793,3317010,13940,6103777,38492446,11131083,9409732,5857012,49619401,545589,3367682,188208,59402,344814,100822,10668,16062,7365,15374,7879,561744,3346332,220971,3255103,340048,93502,0,189599204,0,52297676,1273231,1006650.0,36438.0,1043088.0,0.037273406982421875
904,167542579,102783737,4576287,17647,3236290,12337,4517015,339224,6113,14160,1135,212925,322474,36432,97356,2594845,4980426,30387487,46308384,34008586,3303225,6135931,2847058,3325343,13586,6121355,38609877,11155270,9437971,5849584,49756588,552321,3414053,177654,57525,348412,104140,5775,12635,7428,15230,9787,567531,3434541,228451,3249327,339320,99249,0,190020676,0,52413892,1290608,1002195.0,36621.0,1038816.0,0.03738284111022949
905,167925165,102900113,4704437,14464,3293035,9845,4627252,212677,7008,15205,1421,221977,325101,34485,103804,2664625,4999753,30437023,45962865,34324737,3326037,6154285,2823328,3331944,13741,6140478,38713043,11180606,9461979,5676229,49893443,563937,3365537,213483,61837,346742,100921,5615,13097,9599,15601,8313,577928,3390366,243145,3331833,343912,97456,0,192087902,0,52530236,1287474,961118.0,30274.0,991392.0,0.037281036376953125
906,168447406,102499296,4691238,12383,3273787,9995,4198916,196808,6538,14684,942,231132,322430,36826,98594,2392281,4931678,30804783,46718064,34183327,3315048,6173746,2842976,3339286,13945,6160059,38834373,11204791,9488168,6031391,50030578,571316,3479309,233682,65365,345856,100031,6531,14466,7621,16320,10643,587269,3465693,259181,3258517,343800,97800,0,192513932,0,52646708,1295962,1058835.0,47180.0,1106015.0,0.039459943771362305
907,168820107,102852187,4329004,14137,3157567,9314,4181633,206029,5876,14785,804,234209,322630,38812,97541,2716345,5086479,30714410,46983947,34124612,3324248,6193042,2846189,3347336,14092,6179758,38940748,11229155,9515121,5378172,50165287,575728,3419445,237611,69461,345288,100456,5789,22592,7874,15399,7825,591285,3534804,250845,3070840,336660,101605,0,192940430,0,52763308,1265118,1096250.0,55481.0,1151731.0,0.04024529457092285
908,169152623,104418253,4637139,12450,3166435,7911,4695356,264351,6008,14468,990,198907,323368,42848,104564,2604616,5078216,30669730,46587937,34303336,3329392,6212292,2858150,3354307,13893,6198818,39055816,11253300,9543059,5837352,50302765,572255,3403535,243573,72858,346880,105014,5924,16230,7496,13961,9179,588305,3503968,256632,3339298,337404,98398,0,193367396,0,52880036,1234713,1087643.0,55419.0,1143062.0,0.039060115814208984
909,169608326,104159192,4753743,15998,3375532,7196,4734283,346176,7307,14836,1070,247018,324416,41732,97056,2730989,5131800,30737297,47654554,34294353,3339874,6231757,2901162,3362139,13744,6217074,39133984,11278443,9568478,5283466,50438893,588211,3532476,245277,69664,347668,100429,6198,13021,9120,14543,7126,608194,3500080,273337,3246786,349326,96274,0,193794830,0,52996892,1240791,1279293.0,72876.0,1352169.0,0.046520233154296875
