Matrix Size,Total Instructions,Total Cycles,L1 Cache Misses,cpu energy,dram energy,total energy,total time
3000,3005953906,1725402800,99213420,18463332.0,1694393.0,20157725.0,0.633070707321167
3001,2983964733,1712453222,98671664,20871711.0,1945368.0,22817079.0,0.7379093170166016
3002,2985264737,1722811014,98618232,18876417.0,1787166.0,20663583.0,0.7061920166015625
3003,2986587558,1741787159,98386806,20243844.0,1876093.0,22119937.0,0.741621732711792
3004,2986567036,1745882927,97520260,18671095.0,1724788.0,20395883.0,0.7023630142211914
3005,2987737150,1728808234,97790806,18199660.0,1649532.0,19849192.0,0.6950013637542725
3006,2987906949,1708522876,97321322,17961441.0,1650997.0,19612438.0,0.6814169883728027
3007,2988735374,1739247582,97079871,18051224.0,1643001.0,19694225.0,0.6837015151977539
3008,2989114967,1742712183,97938183,18116408.0,1681636.0,19798044.0,0.6906888484954834
3009,3012902100,1727432818,98228023,18136855.0,1620540.0,19757395.0,0.6956770420074463
