Matrix Size,Total Instructions,CPU Energy,DRAM Energy,Total Energy,Total Time,Total Cycles,L1 Cache Misses
2000,1082441642,6646956.0,489867.0,7136823.0,0.2506844997406006,648840730,45322546
2001,1093281723,9902319.0,771421.0,10673740.0,0.35852646827697754,652253309,44639650
2002,1095003216,9808691.0,759214.0,10567905.0,0.35256099700927734,644369453,42162475
2003,1096889678,8000590.0,614562.0,8615152.0,0.2960212230682373,671583343,42609635
2004,1098529428,6856428.0,505736.0,7362164.0,0.2595803737640381,671842019,46024901
2005,1100490982,6855756.0,497375.0,7353131.0,0.26152515411376953,661128936,45309601
2006,1102000984,6692305.0,487731.0,7180036.0,0.25645923614501953,658953241,45705373
2007,1104099262,6859785.0,492369.0,7352154.0,0.2599034309387207,670109617,45460979
2008,1105914013,6744734.0,496703.0,7241437.0,0.25702548027038574,662129311,46525617
2009,1096863814,9471716.0,708067.0,10179783.0,0.3419935703277588,666723113,45022892
