Matrix Size,Total Instructions,Total Cycles,L1 Cache Misses,cpu energy,dram energy,total energy,total time
3900,5819424600,3360069276,200415232,42754529.0,4380055.0,47134584.0,1.4350669384002686
3901,5817443928,3312832067,197513283,27771413.0,3906728.0,31678141.0,1.6339137554168701
3902,5818643341,3230255737,197188444,20122508.0,4180776.0,24303284.0,2.002638339996338
3903,5821406561,3392345584,197376198,21886724.0,4429066.0,26315790.0,2.1473937034606934
3904,5824995334,3364784629,196860169,23644288.0,4694874.0,28339162.0,2.2652316093444824
3905,5858615871,3399365915,197563248,20078928.0,4008474.0,24087402.0,1.951469898223877
3906,5861884114,3307594829,198649465,20147836.0,4006764.0,24154600.0,1.9509258270263672
3907,5865901130,3335397455,203745004,20413217.0,4089711.0,24502928.0,1.9646587371826172
3908,5875606363,3393230132,201902645,23936095.0,3735159.0,27671254.0,2.3029980659484863
3909,5874291547,3298503566,200903881,22971682.0,4332691.0,27304373.0,2.1531505584716797
3910,5877475567,3402156689,198246205,22181767.0,4436207.0,26617974.0,2.10302996635437
3911,5885075748,3313326422,199360584,25070004.0,5204637.0,30274641.0,2.317878246307373
3912,5883427738,3339197270,202664537,21129279.0,4085988.0,25215267.0,1.9909460544586182
3913,5886558534,3356745485,204253352,21114203.0,4119435.0,25233638.0,2.0017151832580566
3914,5890439009,3385836221,202120610,21560614.0,4170216.0,25730830.0,2.027733564376831
3915,5894071162,3459954359,201688315,21390021.0,4221974.0,25611995.0,2.027324676513672
3916,5898015832,3431181164,201314098,21789434.0,4210011.0,25999445.0,2.0492966175079346
3917,5905492059,3392531966,200422725,25632869.0,4804004.0,30436873.0,2.3912200927734375
3918,5910476415,3365751778,200732582,28529346.0,5230455.0,33759801.0,2.6089494228363037
3919,5905229822,3404286034,203984668,21455328.0,4365040.0,25820368.0,2.0183355808258057
3920,5908590293,3393543042,203272265,20485483.0,3985525.0,24471008.0,1.938485860824585
3921,5949072126,3381808598,203222118,20783089.0,4090078.0,24873167.0,1.969329833984375
3922,5955064047,3375824797,202151282,20652169.0,4117848.0,24770017.0,1.9629113674163818
3923,5961820273,3358470198,207124918,20690988.0,4090810.0,24781798.0,1.9469554424285889
3924,5967085397,3447821986,207992674,20802498.0,4228077.0,25030575.0,1.9608383178710938
3925,5977062867,3561308088,208422158,25187802.0,5161547.0,30349349.0,2.3272833824157715
3926,5981829695,3432221116,204934366,23218080.0,4508534.0,27726614.0,2.15621018409729
3927,5984684371,3436979406,205808040,20726754.0,4194143.0,24920897.0,1.95241117477417
3928,5990961134,3459402144,206880347,20858589.0,4168324.0,25026913.0,1.9735662937164307
3929,5955502670,3461584295,205709022,20785103.0,4114491.0,24899594.0,1.970038652420044
3930,5961439155,3420329182,206638353,20798470.0,4212391.0,25010861.0,1.9639928340911865
3931,5967585105,3400802792,208077434,20907234.0,4114065.0,25021299.0,1.9862613677978516
3932,5977025997,3397929569,205700250,26177179.0,5042773.0,31219952.0,2.4423837661743164
3933,5986112079,3494063520,202781346,27470816.0,5335313.0,32806129.0,2.50431489944458
3934,5985259149,3427052180,208013971,21248603.0,4173757.0,25422360.0,1.9994423389434814
3935,5990057175,3465871766,210376651,20870125.0,4120839.0,24990964.0,1.962949514389038
3936,5995444964,3624631243,212515863,20820626.0,4168019.0,24988645.0,1.966994285583496
3937,6034568070,3610379885,204987887,21458990.0,4219960.0,25678950.0,2.034914970397949
3938,6038618616,3555027312,204694950,21052131.0,4055959.0,25108090.0,1.9828190803527832
3939,6043567163,3465129531,209176581,29591294.0,4244252.0,33835546.0,1.6776249408721924
3940,6048808238,3476367359,207565028,36923917.0,4087330.0,41011247.0,1.5057027339935303
3941,6049299980,3480343743,207871519,33970494.0,3929861.0,37900355.0,1.3917944431304932
3942,6052862120,3521635735,206276136,32523598.0,3651663.0,36175261.0,1.358227252960205
3943,6055341111,3485793968,205322208,32540139.0,3807852.0,36347991.0,1.349121332168579
3944,6058874530,3405397793,208891223,32614113.0,3790823.0,36404936.0,1.364051103591919
3945,6062653258,3534112221,209190758,32349649.0,3716360.0,36066009.0,1.3527426719665527
3946,6065657383,3455052687,210335625,32497231.0,3836111.0,36333342.0,1.3573338985443115
3947,6069235915,3654853740,210542078,32608071.0,3786489.0,36394560.0,1.3635773658752441
3948,6072588189,3597574365,212572908,32385659.0,3754690.0,36140349.0,1.3569598197937012
3949,6075882872,3451182585,212116832,32350259.0,3758963.0,36109222.0,1.3548564910888672
3950,6081188924,3517387759,211123587,36725004.0,4147328.0,40872332.0,1.5077133178710938
3951,6086037980,3490126182,213293543,39040306.0,4474598.0,43514904.0,1.5766146183013916
3952,6085434246,3493728611,214682192,32988441.0,3883901.0,36872342.0,1.3763890266418457
3953,6119174746,3529840545,216452119,32593727.0,3864248.0,36457975.0,1.360527753829956
3954,6118929591,3540746765,213411115,32397500.0,3755911.0,36153411.0,1.3684594631195068
3955,6118555616,3644999939,209337083,32705849.0,3784902.0,36490751.0,1.3777453899383545
3956,6117194950,3556891040,210454493,32982337.0,3793448.0,36775785.0,1.3811256885528564
3957,6115908151,3650283351,209931164,32556862.0,3802786.0,36359648.0,1.3703219890594482
3958,6114324573,3533746326,206904651,32363808.0,3835378.0,36199186.0,1.360595703125
3959,6113151864,3631636023,207671949,32496255.0,3849050.0,36345305.0,1.3686895370483398
3960,6112667776,3532701841,206913268,33617528.0,3967153.0,37584681.0,1.4109814167022705
3961,6072404882,3493870779,210968802,36931546.0,4220754.0,41152300.0,1.5218169689178467
3962,6069754245,3508077287,208617321,36404814.0,4246449.0,40651263.0,1.484025001525879
3963,6066153395,3526161339,208788349,32649453.0,3918935.0,36568388.0,1.3663330078125
3964,6064702777,3505348713,202873617,32350442.0,3890066.0,36240508.0,1.3640954494476318
3965,6063863003,3444747851,196472036,32245706.0,3776724.0,36022430.0,1.3664796352386475
3966,6062627708,3473551898,201986133,32590554.0,3769278.0,36359832.0,1.378436803817749
3967,6060561979,3457466315,205507003,32612343.0,3900075.0,36512418.0,1.3698501586914062
3968,6058729270,3606744899,203803214,32433206.0,3879812.0,36313018.0,1.3666367530822754
3969,6098593273,3517439877,203872879,32849342.0,3885732.0,36735074.0,1.3790104389190674
3970,6102124406,3553509202,207448240,32437173.0,3845998.0,36283171.0,1.3708655834197998
3971,6107841945,3544214129,205964975,35171663.0,4015615.0,39187278.0,1.4743123054504395
3972,6111268379,3576266290,205980077,37920740.0,4440541.0,42361281.0,1.5457637310028076
3973,6113951901,3539403728,207105206,34824740.0,4155324.0,38980064.0,1.4440765380859375
3974,6115964155,3528658963,206477685,32825661.0,3927053.0,36752714.0,1.3835561275482178
