Matrix Size,Total Instructions,Total Cycles,L1 Cache Misses,cpu energy,dram energy,total energy,total time
3000,3005972044,1539371754,103549181,13760279.0,1089474.0,14849753.0,0.5182502269744873
3001,2985103445,1530990276,105540473,22422184.0,1665585.0,24087769.0,0.8359870910644531
3002,2983863640,1501621062,102658578,15979574.0,1156735.0,17136309.0,0.6095104217529297
3003,2985122186,1509045316,109808890,18565138.0,1367611.0,19932749.0,0.704909086227417
3004,2986480332,1540614216,109998929,18740003.0,1375668.0,20115671.0,0.7150819301605225
3005,2985880868,1539014323,107642177,16594379.0,1249752.0,17844131.0,0.6421160697937012
3006,2986581996,1535121069,107320681,14648400.0,1095761.0,15744161.0,0.6014552116394043
3007,2987127706,1536736262,108001318,14538110.0,1093381.0,15631491.0,0.5988767147064209
3008,2987850365,1540394467,109148887,14750511.0,1109311.0,15859822.0,0.606245756149292
3009,3011021147,1539863663,106329885,14884056.0,1129636.0,16013692.0,0.6053731441497803
3010,3013276024,1545691346,105516983,14611596.0,1107358.0,15718954.0,0.6035523414611816
3011,3015770720,1529656121,106112872,14969932.0,1111813.0,16081745.0,0.6140530109405518
3012,3017954958,1578593076,110954767,15031273.0,1115903.0,16147176.0,0.6128125190734863
3013,3020168896,1440120661,110718364,14858666.0,1121213.0,15979879.0,0.6110055446624756
3014,3022179149,1536320066,110549253,14783959.0,1126890.0,15910849.0,0.607520341873169
3015,3024964452,1558478391,110393278,15144309.0,1107297.0,16251606.0,0.6213088035583496
3016,3026619137,1563371543,112021445,14833641.0,1132260.0,15965901.0,0.612586259841919
3017,3028829910,1508701806,110615430,14933128.0,1128720.0,16061848.0,0.6124615669250488
3018,3031802385,1559154882,108215990,13316922.0,1130734.0,14447656.0,0.7099173069000244
3019,3033134787,1575083348,108223721,10462070.0,1226986.0,11689056.0,0.7599151134490967
3020,3035418228,1574724409,109449752,10450596.0,1231137.0,11681733.0,0.7690694332122803
3021,3037742863,1570907293,107935332,10470494.0,1217953.0,11688447.0,0.7672228813171387
3022,3039988289,1570909094,107281120,10635410.0,1230222.0,11865632.0,0.7715113162994385
3023,3041875565,1554911937,107129589,10527866.0,1233335.0,11761201.0,0.7737348079681396
