Matrix Size,Total Instructions,Total Cycles,L1 Cache Misses,cpu energy,dram energy,total energy,total time
3000,3007002042.0,1583788140.0,102856002.0,16288959.0,1471737.0,17760696.0,0.6401762962341309
3001,2982554853.0,1707332054.0,102539262.0,15496054.0,1282955.0,16779009.0,0.6192007064819336
3002,2983247238.0,1577948680.0,101895922.0,14779442.0,1209652.0,15989094.0,0.6028392314910889
3003,2983978602.0,1512339953.0,102142030.0,14872521.0,1205746.0,16078267.0,0.6038455963134766
3004,2984872381.0,1624247940.0,102312151.0,14736229.0,1177731.0,15913960.0,0.6049695014953613
3005,2985730770.0,1626317023.0,101591612.0,14666344.0,1168577.0,15834921.0,0.6036972999572754
3006,2986597448.0,1620581653.0,101134771.0,14876060.0,1184873.0,16060933.0,0.6072759628295898
3007,2987542455.0,1633277925.0,101276751.0,14860924.0,1196347.0,16057271.0,0.6094930171966553
3008,2988837941.0,1649960095.0,101142200.0,15509726.0,1176389.0,16686115.0,0.6328837871551514
3009,3011103744.0,1664931129.0,101696832.0,14785362.0,1176572.0,15961934.0,0.6067755222320557
3010,3013457530.0,1653180959.0,101501423.0,14929466.0,1162167.0,16091633.0,0.6064198017120361
3011,3015680642.0,1660576026.0,102104741.0,15104271.0,1206357.0,16310628.0,0.6103432178497314
3012,3017989180.0,1675561367.0,102845944.0,14917808.0,1207150.0,16124958.0,0.6111805438995361
3013,3020178517.0,1645095785.0,102783217.0,14954246.0,1190488.0,16144734.0,0.6127538681030273
3014,3022272748.0,1648910125.0,102572239.0,14952354.0,1180111.0,16132465.0,0.6116211414337158
3015,3024752859.0,1634214374.0,103419734.0,15361838.0,1214230.0,16576068.0,0.6255700588226318
3016,3026520497.0,1608788305.0,103830226.0,15164023.0,1207577.0,16371600.0,0.6190955638885498
3017,3028990986.0,1659493112.0,104055956.0,15085777.0,1195004.0,16280781.0,0.6194329261779785
3018,3031181631.0,1669367335.0,103971382.0,15064110.0,1189328.0,16253438.0,0.616274356842041
3019,3033305548.0,1686414647.0,104678557.0,15129478.0,1205929.0,16335407.0,0.6159446239471436
3020,3035606770.0,1652384856.0,105196499.0,15137961.0,1214779.0,16352740.0,0.618833065032959
3021,3038054265.0,1682805427.0,105182554.0,15313499.0,1195920.0,16509419.0,0.6233248710632324
3022,3040607566.0,1664813268.0,106173827.0,15356894.0,1141965.0,16498859.0,0.6296935081481934
3023,3041965317.0,1652605234.0,105863447.0,15181663.0,1209042.0,16390705.0,0.6189286708831787
3024,3043841716.0,1698022039.0,106457237.0,15306663.0,1223996.0,16530659.0,0.6200034618377686
3025,3068890409.0,1672557543.0,106619169.0,15225669.0,1226377.0,16452046.0,0.6218807697296143
3026,3072834295.0,1682694552.0,106338092.0,15349143.0,1211118.0,16560261.0,0.6254928112030029
3027,3076651295.0,1700088781.0,106795440.0,15431052.0,1182859.0,16613911.0,0.627997636795044
3028,3080070868.0,1707125671.0,106987533.0,15292869.0,1229367.0,16522236.0,0.6235842704772949
3029,3083995316.0,1676093521.0,106918206.0,15456809.0,1213437.0,16670246.0,0.6275589466094971
3030,3087546249.0,1697557492.0,106511895.0,15372519.0,1236814.0,16609333.0,0.6270310878753662
3031,3091157113.0,1681817664.0,106949715.0,15391379.0,1230709.0,16622088.0,0.6291584968566895
3032,3094874117.0,1667181077.0,107194148.0,15397177.0,1261716.0,16658893.0,0.6269288063049316
3033,3074056492.0,1709003831.0,107148677.0,15531576.0,1243832.0,16775408.0,0.6318182945251465
3034,3077143008.0,1666635653.0,106913027.0,16275166.0,1307674.0,17582840.0,0.6589925289154053
3035,3081980646.0,1709559624.0,107473430.0,16394245.0,1288937.0,17683182.0,0.6520702838897705
3036,3084930076.0,1705825072.0,107615342.0,15668539.0,1298764.0,16967303.0,0.6331725120544434
3037,3088792567.0,1690967647.0,107420134.0,15464560.0,1261350.0,16725910.0,0.6297211647033691
3038,3092816086.0,1666269507.0,106951380.0,15596091.0,1228452.0,16824543.0,0.6318378448486328
3039,3095969155.0,1711497627.0,107452387.0,15632101.0,1261411.0,16893512.0,0.6344585418701172
3040,3099057741.0,1719269175.0,108503800.0,16045736.0,1374203.0,17419939.0,0.6420176029205322
3041,3122978169.0,1710924242.0,108929985.0,15345054.0,1242428.0,16587482.0,0.6278867721557617
3042,3125462882.0,1710598586.0,108832509.0,15550315.0,1243832.0,16794147.0,0.6334340572357178
3043,3127827465.0,1718315882.0,109584412.0,15550436.0,1239621.0,16790057.0,0.6340122222900391
3044,3129919904.0,1713041538.0,110336607.0,15592001.0,1256528.0,16848529.0,0.63443922996521
3045,3132029108.0,1743258759.0,110119982.0,15541830.0,1241452.0,16783282.0,0.6297059059143066
3046,3134601785.0,1712519991.0,110322095.0,15865682.0,1256955.0,17122637.0,0.6394002437591553
3047,3136814083.0,1747767826.0,110854685.0,15777486.0,1262631.0,17040117.0,0.6412010192871094
3048,3139023995.0,1739714644.0,110168963.0,15596884.0,1274166.0,16871050.0,0.6382358074188232
3049,3141479864.0,1720130690.0,110907245.0,15881551.0,1273922.0,17155473.0,0.6430401802062988
3050,3143646122.0,1752321699.0,110617949.0,15760030.0,1295040.0,17055070.0,0.6431000232696533
3051,3145953816.0,1725317930.0,111136715.0,15797628.0,1253476.0,17051104.0,0.644660234451294
3052,3147922955.0,1757481955.0,112024602.0,15687399.0,1276669.0,16964068.0,0.6384663581848145
3053,3150333677.0,1758568311.0,111995810.0,15762899.0,1278561.0,17041460.0,0.6418907642364502
3054,3152462796.0,1736557019.0,111833343.0,15774252.0,1287960.0,17062212.0,0.6394245624542236
3055,3154583674.0,1732205776.0,112636866.0,15799947.0,1272641.0,17072588.0,0.6447629928588867
3056,3156133183.0,1715718823.0,112930123.0,15796651.0,1286923.0,17083574.0,0.6390104293823242
3057,3176186483.0,1763814036.0,112459248.0,15714804.0,1292416.0,17007220.0,0.6419925689697266
3058,3174306257.0,1746271164.0,111393535.0,15737814.0,1288022.0,17025836.0,0.6418395042419434
3059,3172318931.0,1732813312.0,110727404.0,15720113.0,1284908.0,17005021.0,0.6432955265045166
3060,3170250326.0,1765780610.0,110316741.0,15758077.0,1308835.0,17066912.0,0.6435446739196777
3061,3168319795.0,1742190820.0,109174763.0,15902486.0,1287106.0,17189592.0,0.6455585956573486
3062,3166107179.0,1745250577.0,107993258.0,15814169.0,1308652.0,17122821.0,0.642223596572876
3063,3164283336.0,1732017221.0,107475655.0,16090901.0,1317502.0,17408403.0,0.6483988761901855
3064,3162089092.0,1740828463.0,107305506.0,15914204.0,1327450.0,17241654.0,0.6467499732971191
3065,3134943802.0,1757451046.0,106055448.0,15850301.0,1294980.0,17145281.0,0.6457784175872803
3066,3132610318.0,1692885774.0,106237095.0,15843587.0,1298885.0,17142472.0,0.6410415172576904
3067,3130630396.0,1750602759.0,105676721.0,15820333.0,1327450.0,17147783.0,0.6423845291137695
3068,3128462109.0,1695989852.0,105248470.0,15814291.0,1320004.0,17134295.0,0.6396408081054688
3069,3126419478.0,1682053720.0,104163574.0,15587423.0,1305234.0,16892657.0,0.6471438407897949
3070,3126760852.0,1699669665.0,103185725.0,18378249.0,1772822.0,20151071.0,0.7562098503112793
3071,3124029285.0,1703364172.0,103921151.0,16509235.0,1512020.0,18021255.0,0.7128691673278809
3072,3122906690.0,1775190159.0,105429453.0,20576607.0,2119379.0,22695986.0,0.8623695373535156
3073,3150109348.0,1785268540.0,104824565.0,19146801.0,1846065.0,20992866.0,0.8074395656585693
3074,3151224795.0,1755004362.0,103299170.0,16253742.0,1417538.0,17671280.0,0.7227249145507812
3075,3151710410.0,1759622134.0,103961433.0,15336508.0,1621150.0,16957658.0,0.6717443466186523
3076,3154005126.0,1754742024.0,104684879.0,15926961.0,1680294.0,17607255.0,0.6808393001556396
3077,3155863069.0,1742000770.0,104352481.0,14428064.0,1299923.0,15727987.0,0.6564655303955078
3078,3158220100.0,1729017904.0,104487918.0,14504907.0,1288937.0,15793844.0,0.6550233364105225
3079,3160472698.0,1734359273.0,104818884.0,14631432.0,1294247.0,15925679.0,0.6486818790435791
3080,3163015588.0,1730724356.0,105476457.0,14796349.0,1276486.0,16072835.0,0.6574935913085938
3081,3165375163.0,1756448832.0,101452752.0,14785668.0,1279354.0,16065022.0,0.6600937843322754
3082,3171625659.0,1725868936.0,101853172.0,21609869.0,2106012.0,23715881.0,0.8852279186248779
3083,3172265817.0,1758469119.0,102061462.0,21136664.0,2133905.0,23270569.0,0.8383338451385498
3084,3172794662.0,1734358950.0,102910764.0,15496359.0,1391293.0,16887652.0,0.6986434459686279
3085,3175447467.0,1753689069.0,102915951.0,16261921.0,1461727.0,17723648.0,0.7041909694671631
3086,3176526666.0,1772438102.0,102868648.0,14617516.0,1299924.0,15917440.0,0.6629865169525146
3087,3179673436.0,1768780872.0,103546086.0,16105855.0,1402401.0,17508256.0,0.7008655071258545
3088,3180692732.0,1776961369.0,103976390.0,15166953.0,1335812.0,16502765.0,0.6746234893798828
3089,3214829659.0,1798883263.0,104213834.0,21769903.0,1562069.0,23331972.0,0.9431602954864502
3090,3217788200.0,1730953575.0,104036980.0,25609493.0,2367120.0,27976613.0,1.0502400398254397
3091,3219388149.0,1735796954.0,104605165.0,23070009.0,2073298.0,25143307.0,0.9649629592895508
3092,3220686564.0,1717448298.0,104919734.0,22331242.0,2050227.0,24381469.0,0.9425134658813475
3093,3229301222.0,1759127693.0,104598198.0,22525455.0,2002619.0,24528074.0,0.9438025951385498
3094,3234656413.0,1752932378.0,104254691.0,24211485.0,2135859.0,26347344.0,1.0249459743499756
3095,3236920145.0,1762402399.0,104304379.0,22189579.0,1980280.0,24169859.0,0.9395229816436768
3096,3238998386.0,1758980706.0,104640078.0,25656734.0,2459649.0,28116383.0,1.0509803295135498
3097,3217878664.0,1735789819.0,104786233.0,23751099.0,2158319.0,25909418.0,0.9875502586364746
3098,3215113499.0,1735775391.0,104405493.0,15433555.0,1485225.0,16918780.0,0.6900427341461182
3099,3220271280.0,1742826756.0,104815697.0,19795970.0,1873286.0,21669256.0,0.7987973690032959
3100,3224732433.0,1751435273.0,105227375.0,18560621.0,1875484.0,20436105.0,0.7634389400482178
3101,3232457516.0,1752581947.0,104787970.0,19921336.0,1566830.0,21488166.0,0.8550856113433838
3102,3231487746.0,1743734861.0,104786507.0,16141560.0,1492123.0,17633683.0,0.7132439613342285
3103,3235370968.0,1742818927.0,105067749.0,16394733.0,1484921.0,17879654.0,0.7102835178375244
3104,3239185614.0,1756201972.0,105487746.0,17001971.0,1571529.0,18573500.0,0.7206442356109619
3105,3262144910.0,1766789292.0,105951527.0,15049339.0,1414364.0,16463703.0,0.6710693836212158
3106,3271517102.0,1744340162.0,105838486.0,24530150.0,2208674.0,26738824.0,1.0031790733337402
3107,3273617505.0,1764967314.0,106429624.0,23722169.0,2065791.0,25787960.0,1.00148606300354
3108,3276314755.0,1776818339.0,106887218.0,22818668.0,2075190.0,24893858.0,0.9601521492004396
3109,3272869990.0,1742040242.0,106759849.0,17488969.0,1712826.0,19201795.0,0.736053466796875
3110,3277113546.0,1760402214.0,106793345.0,18087845.0,1395931.0,19483776.0,0.7970836162567139
3111,3276687947.0,1761163561.0,107494908.0,15574118.0,1396725.0,16970843.0,0.6862597465515137
3112,3280051139.0,1763802406.0,108397460.0,16365864.0,1308773.0,17674637.0,0.7178299427032471
3113,3281618133.0,1752982641.0,108678749.0,16130025.0,1351864.0,17481889.0,0.7015352249145508
3114,3283989933.0,1774787219.0,108597127.0,16002034.0,1394162.0,17396196.0,0.6999416351318359
3115,3286111263.0,1754068451.0,109955709.0,15661886.0,1335629.0,16997515.0,0.6910519599914551
3116,3288181461.0,1755071544.0,109611650.0,15704367.0,1367917.0,17072284.0,0.6845896244049072
3117,3292989826.0,1802351226.0,109368518.0,19814952.0,1816402.0,21631354.0,0.8044867515563965
3118,3294332736.0,1789333253.0,109530659.0,16500324.0,1333858.0,17834182.0,0.728114128112793
3119,3295901441.0,1701724356.0,112669599.0,20590524.0,1887019.0,22477543.0,0.8439316749572754
3120,3301281569.0,1721190328.0,113632854.0,23180300.0,2106073.0,25286373.0,0.9631035327911376
3121,3321310043.0,1777209841.0,113421529.0,19630382.0,1912593.0,21542975.0,0.8106241226196289
3122,3324290508.0,1793939296.0,112825799.0,23804993.0,2237787.0,26042780.0,0.9655113220214844
3123,3323352696.0,1792904761.0,112779298.0,17296953.0,1562374.0,18859327.0,0.7533760070800781
3124,3323449544.0,1787416099.0,112645583.0,15716635.0,1374753.0,17091388.0,0.6997942924499512
3125,3324913028.0,1812472554.0,109948276.0,16649128.0,1405697.0,18054825.0,0.7156567573547363
3126,3328303582.0,1805769288.0,109636873.0,19222302.0,1710323.0,20932625.0,0.8211963176727295
3127,3327933191.0,1798201435.0,109439307.0,18018630.0,1785640.0,19804270.0,0.7606215476989746
3128,3333579080.0,1815538441.0,109421060.0,21867559.0,1901180.0,23768739.0,0.9376378059387208
3129,3301348015.0,1791490279.0,109327338.0,16100728.0,1625301.0,17726029.0,0.7075839042663574
3130,3302230646.0,1791072688.0,108753769.0,15599082.0,1377133.0,16976215.0,0.6921930313110352
3131,3303207721.0,1789607536.0,108746629.0,15888998.0,1398129.0,17287127.0,0.695493221282959
3132,3304540257.0,1770088800.0,108567986.0,16198018.0,1441097.0,17639115.0,0.7075059413909912
3133,3304604936.0,1770698715.0,107681323.0,16075276.0,1458309.0,17533585.0,0.6934759616851807
3134,3305796949.0,1777003153.0,107350172.0,15934774.0,1400692.0,17335466.0,0.699838399887085
3135,3307827746.0,1794117390.0,107343988.0,17335160.0,1555965.0,18891125.0,0.7423725128173828
3136,3308085630.0,1797046725.0,107463226.0,17844742.0,1620967.0,19465709.0,0.7534472942352295
3137,3332591768.0,1810425933.0,107799517.0,19848948.0,2006769.0,21855717.0,0.8046119213104248
3138,3334622774.0,1819741907.0,107599122.0,15790426.0,1452206.0,17242632.0,0.708794116973877
3139,3337121245.0,1802444426.0,108113028.0,16197346.0,1435909.0,17633255.0,0.7037220001220703
3140,3339455185.0,1901737272.0,109032342.0,16097615.0,1417843.0,17515458.0,0.70699143409729
3141,3341668892.0,1791996350.0,108916846.0,15757711.0,1384396.0,17142107.0,0.697890043258667
3142,3343853249.0,1798109299.0,108976608.0,15798909.0,1386837.0,17185746.0,0.6962692737579346
3143,3346439337.0,1817498695.0,109639352.0,15907858.0,1393856.0,17301714.0,0.7020511627197266
3144,3348877251.0,1937848436.0,110247930.0,16389057.0,1451168.0,17840225.0,0.7044484615325928
3145,3352823325.0,1941390902.0,110689469.0,19114209.0,1715815.0,20830024.0,0.7941532135009766
3146,3353244783.0,1827819025.0,110456341.0,15741842.0,1424069.0,17165911.0,0.7061374187469482
3147,3355994422.0,1799386197.0,111145207.0,16229146.0,1431332.0,17660478.0,0.7127866744995117
3148,3357960256.0,1828679770.0,111523620.0,15706258.0,1421505.0,17127763.0,0.6973950862884521
3149,3360593827.0,1823564759.0,112568675.0,16080769.0,1393917.0,17474686.0,0.7022109031677246
3150,3362951954.0,1852355295.0,112478965.0,15874898.0,1378781.0,17253679.0,0.7037045955657959
3151,3365128480.0,1831127055.0,113157144.0,15959066.0,1388302.0,17347368.0,0.7042713165283203
3152,3367225693.0,1828426980.0,113709748.0,16178914.0,1403500.0,17582414.0,0.7093334197998047
3153,3394121293.0,1856728101.0,113908195.0,16215779.0,1470577.0,17686356.0,0.7097630500793457
3154,3397787941.0,1856042472.0,113668850.0,15981710.0,1441281.0,17422991.0,0.70021653175354
3155,3401982111.0,1842739652.0,113996128.0,16116597.0,1444271.0,17560868.0,0.7065920829772949
3156,3405840275.0,1841543711.0,114272253.0,15826131.0,1420407.0,17246538.0,0.7034304141998291
3157,3410594120.0,1862246833.0,114279156.0,16789386.0,1489070.0,18278456.0,0.7316570281982422
3158,3414584263.0,1855223100.0,113768767.0,16652606.0,1477475.0,18130081.0,0.7279136180877686
3159,3418301357.0,1856961564.0,114182789.0,16780475.0,1490474.0,18270949.0,0.7305698394775391
3160,3421936632.0,1868577154.0,114856204.0,16252644.0,1460446.0,17713090.0,0.7182996273040771
3161,3400680017.0,1838796772.0,114491280.0,21268012.0,1799983.0,23067995.0,0.894705057144165
3162,3404763418.0,1843888997.0,114259515.0,17547441.0,1669002.0,19216443.0,0.7683677673339844
3163,3408427131.0,1846238341.0,114597387.0,17014117.0,1439450.0,18453567.0,0.7486302852630615
3164,3417920956.0,1861619180.0,115123634.0,24008300.0,1798336.0,25806636.0,1.018197536468506
3165,3415003754.0,1852657375.0,114849863.0,15771505.0,1456966.0,17228471.0,0.7121398448944092
