Matrix Size,Total Instructions,Total Cycles,L1 Cache Misses,cpu energy,dram energy,total energy,total time
3900,5817626530.0,3408073335.6,197305724.8,36873282.0,3918349.4,40791631.4,1.2904415130615234
3901,5818122938.8,3341096320.8,199519058.8,35077339.2,3767288.0,38844627.2,1.4246232509613037
3902,5820239762.2,3347453731.8,198330257.2,34760507.0,4010744.2,38771251.2,1.5324218273162842
3903,5819994835.8,3367345446.0,197685358.2,31831583.4,3850929.8,35682513.2,1.4681355476379394
3904,5822413645.0,3377816896.4,196355444.4,33443640.0,4031227.6,37474867.6,1.5254539012908936
3905,5859001672.8,3426112548.8,197413202.8,32470571.4,3841604.0,36312175.4,1.4702912330627442
3906,5862540008.0,3391286222.6,196723976.0,30915619.0,3691751.0,34607370.0,1.4311539649963378
3907,5865141915.4,3370220704.6,197715537.6,30221687.6,3703481.6,33925169.2,1.4105701446533203
3908,5870395825.0,3401849951.2,198544889.2,31319560.4,3618655.2,34938215.6,1.4946182250976563
3909,5873354497.0,3351647502.8,202473530.2,32311294.0,3771999.4,36083293.4,1.496216344833374
3910,5876485653.2,3435303452.2,202685067.6,32018790.0,3845095.4,35863885.4,1.4840822219848633
3911,5880041022.6,3436198712.0,204147229.2,31734843.2,3994948.2,35729791.4,1.4997750282287599
3912,5884625741.8,3392471545.4,205978421.2,33658642.0,3844692.4,37503334.4,1.5193124771118165
3913,5886809761.6,3395982143.0,206270405.8,33409350.4,4040932.2,37450282.6,1.5000042915344238
3914,5890577676.6,3389464553.2,205713509.0,34389572.6,4071901.0,38461473.6,1.5200106143951415
3915,5893940538.8,3425069615.0,206699239.4,32785804.6,3928835.2,36714639.8,1.4883058547973633
3916,5897077879.6,3390696697.2,209339801.6,33041639.4,3927455.8,36969095.2,1.4998688220977783
3917,5901615819.2,3382634071.4,207795553.6,33986497.8,3985243.8,37971741.6,1.5868920803070068
3918,5903881900.4,3401941162.2,206149131.4,32743275.4,3993740.0,36737015.4,1.5721220016479494
3919,5905850702.8,3399919738.4,207708932.4,34474423.8,3807851.6,38282275.4,1.5565773487091064
3920,5908547570.0,3414127474.8,204522863.2,30557820.0,3626834.0,34184654.0,1.4228885173797607
3921,5949277221.8,3454373988.2,202972711.0,30625507.6,3717654.0,34343161.6,1.4275580883026122
3922,5956372537.4,3465732059.8,203218494.0,32455581.2,3774990.4,36230571.6,1.4815603256225585
3923,5961577031.6,3474077376.6,202883943.4,31018597.6,3738479.0,34757076.6,1.4337217807769775
3924,5968515966.8,3488188464.2,204032272.2,32899867.0,3901454.6,36801321.6,1.4862019062042235
3925,5975010028.6,3519112090.2,202896868.2,34581344.4,4220216.2,38801560.6,1.5803226947784423
3926,5980553119.0,3461462663.2,203683319.8,35699847.6,4176613.0,39876460.6,1.5892265796661378
3927,5984707022.0,3470997653.2,205577247.8,32499245.6,3942886.0,36442131.6,1.4727667331695558
3928,5991208216.0,3486658920.6,202998743.0,32027005.4,3882497.4,35909502.8,1.4677088737487793
3929,5954988606.4,3444003878.0,203841673.6,30939910.8,3767800.2,34707711.0,1.4408900737762451
3930,5960820530.0,3455861263.4,202624783.0,31106219.2,3796584.4,34902803.6,1.4430389404296875
3931,5967317350.4,3441969695.6,203208039.8,31019061.2,3723904.2,34742965.4,1.44809832572937
3932,5973975092.6,3494886365.6,202247586.2,32577895.0,3900392.8,36478287.8,1.5571485042572022
3933,5980177708.8,3545630604.8,201093200.8,32392946.6,3995192.2,36388138.8,1.5519559860229493
3934,5984444973.8,3484195796.8,202053073.6,31055621.0,3795059.2,34850680.2,1.44747953414917
3935,5991281624.4,3455086287.0,203313922.0,33282226.8,3941237.6,37223464.4,1.5040718078613282
3936,5996861608.0,3506710346.0,204230417.0,34074082.8,4038942.0,38113024.8,1.5210636138916016
3937,6034901668.2,3526453161.0,202995609.4,32961915.2,3982143.2,36944058.4,1.5157241344451904
3938,6038676820.8,3493982947.8,205420191.2,31686063.8,3853237.2,35539301.0,1.4824868202209474
3939,6042230311.6,3509134590.4,208369442.6,33069153.8,3932570.4,37001724.2,1.4275662899017334
3940,6045807966.0,3528768494.8,206503463.2,34328708.4,3877406.8,38206115.2,1.3897768020629884
3941,6048632311.0,3470190028.8,209163292.6,33172962.2,3759292.2,36932254.4,1.3540926933288575
3942,6051918140.8,3517256725.8,207404775.2,32834803.4,3719009.2,36553812.6,1.3439655303955078
3943,6055387124.0,3565204151.2,207483372.6,32809986.8,3754507.2,36564494.0,1.3592283248901367
3944,6058651583.6,3538232021.0,209241290.8,32895570.2,3771304.0,36666874.2,1.3672064304351808
3945,6062120449.8,3549579937.6,208731945.0,32487746.6,3732973.6,36220720.2,1.3573410034179687
3946,6066728551.4,3536588122.2,207851303.4,34518307.4,3981679.6,38499987.0,1.4228985786437989
3947,6071001326.4,3579183035.2,209788541.0,35533490.8,4014076.4,39547567.2,1.4879534721374512
3948,6073140014.2,3525388027.4,210326925.0,33640270.2,3888637.4,37528907.6,1.4142399787902833
3949,6077017439.8,3498784056.6,210333259.8,33488427.8,3843056.6,37331484.4,1.4154207229614257
